epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5
1,13.6878,3.04624,4.72969,1.90614,0.00034,0.01396,2e-05,1e-05,1.96347,4.66308,1.424,0.000328042,0.000328042,0.000328042,0.000164021,0.000328042,0.000295238
2,26.2511,2.18136,4.06325,1.43545,0.46026,0.13585,0.12737,0.06259,1.74229,3.41132,1.30267,0.000661214,0.000661214,0.000661214,0.000330607,0.000661214,0.000595093
3,39.2595,1.90674,3.07725,1.26819,0.19287,0.40181,0.18358,0.07924,1.69715,3.78786,1.26102,0.000993737,0.000993737,0.000993737,0.000496869,0.000993737,0.000894364
4,51.8568,1.84862,2.70886,1.24484,0.25921,0.41021,0.26603,0.13602,1.54095,2.47716,1.18073,0.000997803,0.000997803,0.000997803,0.000498902,0.000997803,0.000898023
5,64.3182,1.67036,2.38826,1.1533,0.27852,0.42049,0.29074,0.11191,1.73487,2.64045,1.21096,0.000996097,0.000996097,0.000996097,0.000498048,0.000996097,0.000896487
6,76.7017,1.58512,2.13942,1.12365,0.39825,0.52355,0.47469,0.25549,1.47374,2.07297,1.11941,0.000993906,0.000993906,0.000993906,0.000496953,0.000993906,0.000894515
7,89.124,1.56723,2.01876,1.11627,0.4915,0.55641,0.52419,0.26054,1.50425,2.01386,1.11334,0.000991232,0.000991232,0.000991232,0.000495616,0.000991232,0.000892109
8,101.401,1.50597,1.88898,1.08531,0.53496,0.61377,0.58421,0.34279,1.35187,1.79057,1.07337,0.000988079,0.000988079,0.000988079,0.000494039,0.000988079,0.000889271
9,113.719,1.51439,1.82564,1.0811,0.58427,0.62579,0.63532,0.37277,1.35616,1.69685,1.08771,0.000984449,0.000984449,0.000984449,0.000492224,0.000984449,0.000886004
10,125.96,1.47669,1.74876,1.07607,0.60497,0.68266,0.694,0.37129,1.36453,1.67324,1.07961,0.000980345,0.000980345,0.000980345,0.000490173,0.000980345,0.000882311
11,138.269,1.44031,1.69914,1.07078,0.6607,0.69937,0.73042,0.45643,1.2271,1.53856,1.03323,0.000975773,0.000975773,0.000975773,0.000487886,0.000975773,0.000878196
12,150.419,1.41438,1.61805,1.0597,0.65539,0.68192,0.74002,0.4543,1.29143,1.4993,1.06047,0.000970736,0.000970736,0.000970736,0.000485368,0.000970736,0.000873662
13,162.702,1.37345,1.51518,1.04708,0.77002,0.6765,0.78184,0.45773,1.3474,1.46017,1.06428,0.000965239,0.000965239,0.000965239,0.00048262,0.000965239,0.000868715
14,175.029,1.41102,1.4978,1.04666,0.7509,0.68082,0.74958,0.32486,1.68557,1.58797,1.16263,0.000959289,0.000959289,0.000959289,0.000479644,0.000959289,0.00086336
15,187.269,1.38664,1.43909,1.03658,0.74682,0.75027,0.8253,0.49228,1.2863,1.33855,1.04581,0.000952889,0.000952889,0.000952889,0.000476445,0.000952889,0.0008576
16,199.469,1.3522,1.42291,1.03199,0.82216,0.74133,0.83947,0.52556,1.24777,1.2118,1.04262,0.000946048,0.000946048,0.000946048,0.000473024,0.000946048,0.000851443
17,211.747,1.41894,1.40901,1.04801,0.83717,0.76316,0.85924,0.56113,1.19652,1.17917,1.03197,0.000938772,0.000938772,0.000938772,0.000469386,0.000938772,0.000844895
18,223.843,1.41046,1.3587,1.0397,0.82174,0.77958,0.85157,0.51995,1.25724,1.22915,1.03133,0.000931067,0.000931067,0.000931067,0.000465534,0.000931067,0.000837961
19,236.328,1.36736,1.31776,1.03506,0.86779,0.75628,0.85604,0.49698,1.29705,1.21729,1.04056,0.000922942,0.000922942,0.000922942,0.000461471,0.000922942,0.000830648
20,248.382,1.32563,1.30156,1.01624,0.85615,0.76608,0.87716,0.56846,1.18388,1.11897,1.01935,0.000914405,0.000914405,0.000914405,0.000457202,0.000914405,0.000822964
21,260.923,1.30295,1.26681,1.02588,0.86444,0.7903,0.87396,0.48545,1.39669,1.26182,1.069,0.000905463,0.000905463,0.000905463,0.000452732,0.000905463,0.000814917
22,273.039,1.32535,1.2468,1.01532,0.85201,0.82041,0.88937,0.5434,1.28902,1.07829,1.05005,0.000896127,0.000896127,0.000896127,0.000448063,0.000896127,0.000806514
23,285.532,1.30108,1.21302,1.01248,0.86217,0.77093,0.85525,0.38417,1.7231,1.32264,1.14601,0.000886404,0.000886404,0.000886404,0.000443202,0.000886404,0.000797764
24,297.592,1.27948,1.23344,1.01565,0.83511,0.83393,0.89514,0.59475,1.13562,1.03859,0.99621,0.000876305,0.000876305,0.000876305,0.000438152,0.000876305,0.000788674
25,309.75,1.31055,1.21964,1.01516,0.88832,0.78947,0.89286,0.54062,1.26415,1.11637,1.03946,0.000865839,0.000865839,0.000865839,0.00043292,0.000865839,0.000779256
26,322.15,1.27695,1.19048,1.01357,0.86404,0.81683,0.90716,0.57134,1.21996,1.0587,1.01582,0.000855018,0.000855018,0.000855018,0.000427509,0.000855018,0.000769516
27,333.135,1.26846,1.16785,1.00067,0.88359,0.80575,0.89413,0.51283,1.37685,1.13494,1.05336,0.000843851,0.000843851,0.000843851,0.000421925,0.000843851,0.000759466
28,344.744,1.31485,1.15452,1.00753,0.87139,0.80519,0.89327,0.46901,1.50638,1.14291,1.09654,0.000832349,0.000832349,0.000832349,0.000416175,0.000832349,0.000749114
29,357.026,1.2641,1.15046,0.99999,0.89216,0.83688,0.91268,0.61782,1.0979,0.96129,0.98106,0.000820525,0.000820525,0.000820525,0.000410262,0.000820525,0.000738472
30,369.159,1.23709,1.09381,0.99715,0.90857,0.83942,0.92617,0.64033,1.06202,0.91602,0.97712,0.000808389,0.000808389,0.000808389,0.000404194,0.000808389,0.00072755
31,381.694,1.24874,1.1069,0.9866,0.91133,0.82724,0.91697,0.61442,1.11595,0.94346,0.99191,0.000795954,0.000795954,0.000795954,0.000397977,0.000795954,0.000716358
32,393.823,1.27347,1.11269,1.00176,0.87574,0.84891,0.91914,0.62157,1.09363,0.92913,0.98194,0.000783231,0.000783231,0.000783231,0.000391616,0.000783231,0.000704908
33,406.24,1.24976,1.09882,0.99079,0.90735,0.8417,0.91432,0.56881,1.22058,0.96814,1.00831,0.000770234,0.000770234,0.000770234,0.000385117,0.000770234,0.000693211
34,418.601,1.23162,1.05226,0.98955,0.90198,0.85115,0.9214,0.56875,1.23706,0.96469,1.01327,0.000756976,0.000756976,0.000756976,0.000378488,0.000756976,0.000681278
35,430.863,1.22415,1.05469,0.98149,0.89953,0.84623,0.92224,0.58654,1.19833,0.98712,0.99937,0.000743468,0.000743468,0.000743468,0.000371734,0.000743468,0.000669121
36,443.157,1.27221,1.07288,0.99547,0.91514,0.83783,0.92557,0.61064,1.15313,0.93557,0.99091,0.000729725,0.000729725,0.000729725,0.000364863,0.000729725,0.000656753
37,455.385,1.22498,1.05494,0.98736,0.8862,0.84984,0.91253,0.46193,1.59262,1.06619,1.09632,0.000715761,0.000715761,0.000715761,0.00035788,0.000715761,0.000644185
38,467.423,1.26475,1.06173,0.99051,0.8901,0.84898,0.91368,0.49333,1.47853,1.01272,1.07671,0.000701588,0.000701588,0.000701588,0.000350794,0.000701588,0.000631429
39,479.911,1.2137,1.03069,0.98084,0.8853,0.87171,0.9313,0.63314,1.07026,0.86672,0.96822,0.000687222,0.000687222,0.000687222,0.000343611,0.000687222,0.000618499
40,492.201,1.23496,1.02189,0.9833,0.9118,0.85589,0.92875,0.62405,1.097,0.88346,0.97767,0.000672675,0.000672675,0.000672675,0.000336338,0.000672675,0.000605408
41,504.458,1.25902,1.03417,0.99363,0.9196,0.86129,0.93875,0.65734,1.04331,0.82787,0.96717,0.000657963,0.000657963,0.000657963,0.000328982,0.000657963,0.000592167
42,516.55,1.19681,1.02326,0.97976,0.91702,0.85685,0.93544,0.60919,1.15833,0.88742,0.99025,0.000643101,0.000643101,0.000643101,0.00032155,0.000643101,0.000578791
43,528.976,1.19967,1.01668,0.98656,0.91793,0.84919,0.93484,0.54678,1.3638,0.93794,1.04404,0.000628101,0.000628101,0.000628101,0.000314051,0.000628101,0.000565291
44,541.095,1.1887,1.00038,0.96865,0.91322,0.85449,0.93508,0.57145,1.26365,0.897,1.01498,0.000612981,0.000612981,0.000612981,0.00030649,0.000612981,0.000551683
45,553.501,1.16766,0.9788,0.97921,0.92135,0.85184,0.93452,0.62475,1.11333,0.86572,0.98369,0.000597754,0.000597754,0.000597754,0.000298877,0.000597754,0.000537978
46,565.558,1.21823,0.98921,0.98201,0.92996,0.84865,0.93873,0.64255,1.06183,0.82836,0.96727,0.000582435,0.000582435,0.000582435,0.000291218,0.000582435,0.000524192
47,577.872,1.20097,0.99036,0.97313,0.91635,0.85474,0.93288,0.63386,1.09197,0.84077,0.96688,0.00056704,0.00056704,0.00056704,0.00028352,0.00056704,0.000510336
48,590.035,1.21421,0.9909,0.97317,0.92176,0.86128,0.93493,0.58669,1.21065,0.87361,0.9988,0.000551584,0.000551584,0.000551584,0.000275792,0.000551584,0.000496425
49,602.196,1.19457,0.96636,0.9761,0.92101,0.85162,0.93606,0.6109,1.15844,0.83083,0.98863,0.000536081,0.000536081,0.000536081,0.000268041,0.000536081,0.000482473
50,614.238,1.15968,0.95205,0.96395,0.93992,0.85752,0.94157,0.63966,1.06574,0.79877,0.96947,0.000520548,0.000520548,0.000520548,0.000260274,0.000520548,0.000468493
51,626.502,1.13874,0.96916,0.96021,0.9354,0.8566,0.93691,0.59611,1.18612,0.85763,1.0018,0.000505,0.000505,0.000505,0.0002525,0.000505,0.0004545
52,638.648,1.17936,0.9683,0.97154,0.90416,0.86242,0.93414,0.54188,1.37,0.94472,1.03774,0.000489452,0.000489452,0.000489452,0.000244726,0.000489452,0.000440507
53,650.972,1.1647,0.94805,0.96999,0.89297,0.85471,0.92138,0.4814,1.55102,1.00709,1.09472,0.000473919,0.000473919,0.000473919,0.000236959,0.000473919,0.000426527
54,663.224,1.17419,0.94467,0.97566,0.92907,0.86867,0.94005,0.63865,1.08784,0.80703,0.97367,0.000458416,0.000458416,0.000458416,0.000229208,0.000458416,0.000412575
55,675.713,1.15061,0.94316,0.96737,0.94379,0.85903,0.94679,0.63229,1.12392,0.79783,0.98039,0.00044296,0.00044296,0.00044296,0.00022148,0.00044296,0.000398664
56,688.065,1.1679,0.94645,0.97312,0.92987,0.87301,0.94234,0.62161,1.12544,0.81362,0.97821,0.000427565,0.000427565,0.000427565,0.000213782,0.000427565,0.000384808
57,700.696,1.19454,0.96018,0.96525,0.94249,0.86176,0.9402,0.54372,1.37925,0.89268,1.04758,0.000412246,0.000412246,0.000412246,0.000206123,0.000412246,0.000371022
58,713.026,1.16592,0.92281,0.9731,0.90492,0.8827,0.93965,0.60873,1.1851,0.82225,0.99459,0.000397019,0.000397019,0.000397019,0.00019851,0.000397019,0.000357317
59,725.433,1.17067,0.93361,0.96796,0.91944,0.88229,0.9457,0.64736,1.07261,0.7767,0.96452,0.000381899,0.000381899,0.000381899,0.000190949,0.000381899,0.000343709
60,737.555,1.12441,0.90501,0.95615,0.92223,0.87947,0.94645,0.66596,1.03642,0.75898,0.96139,0.000366899,0.000366899,0.000366899,0.00018345,0.000366899,0.000330209
61,749.889,1.17238,0.931,0.96692,0.91602,0.88309,0.94569,0.59337,1.25225,0.83303,1.01396,0.000352037,0.000352037,0.000352037,0.000176018,0.000352037,0.000316833
62,762.241,1.15969,0.92088,0.96187,0.93479,0.87587,0.94658,0.64932,1.05663,0.7635,0.96369,0.000337325,0.000337325,0.000337325,0.000168662,0.000337325,0.000303592
63,774.688,1.1403,0.90854,0.9635,0.92478,0.88353,0.94975,0.66209,1.05083,0.7447,0.96064,0.000322778,0.000322778,0.000322778,0.000161389,0.000322778,0.000290501
64,786.964,1.12416,0.90801,0.95565,0.93091,0.87021,0.94759,0.62422,1.14502,0.78306,0.98327,0.000308412,0.000308412,0.000308412,0.000154206,0.000308412,0.000277571
65,799.398,1.12651,0.89361,0.95275,0.95126,0.86264,0.94454,0.6203,1.16267,0.79443,0.98877,0.000294239,0.000294239,0.000294239,0.00014712,0.000294239,0.000264815
66,811.554,1.15299,0.91647,0.95849,0.92282,0.87672,0.94369,0.56891,1.32473,0.83516,1.03344,0.000280275,0.000280275,0.000280275,0.000140137,0.000280275,0.000252247
67,824.038,1.14637,0.89974,0.96223,0.93238,0.8664,0.94652,0.62838,1.1425,0.79087,0.97904,0.000266532,0.000266532,0.000266532,0.000133266,0.000266532,0.000239879
68,836.26,1.17015,0.92052,0.95683,0.93119,0.87341,0.94969,0.63726,1.10183,0.75804,0.96843,0.000253024,0.000253024,0.000253024,0.000126512,0.000253024,0.000227722
69,848.81,1.16767,0.8925,0.95917,0.93831,0.87497,0.94987,0.61799,1.16329,0.76622,0.98372,0.000239766,0.000239766,0.000239766,0.000119883,0.000239766,0.000215789
70,861.244,1.11448,0.87715,0.95582,0.92217,0.88484,0.94737,0.63847,1.11216,0.76094,0.9727,0.000226769,0.000226769,0.000226769,0.000113384,0.000226769,0.000204092
71,873.714,1.12369,0.88742,0.95984,0.93473,0.8719,0.94641,0.59531,1.23547,0.78775,1.00744,0.000214046,0.000214046,0.000214046,0.000107023,0.000214046,0.000192642
72,885.865,1.13599,0.89655,0.96591,0.94983,0.87194,0.94899,0.64266,1.11145,0.74299,0.97847,0.000201611,0.000201611,0.000201611,0.000100806,0.000201611,0.00018145
73,898.155,1.10756,0.88295,0.95894,0.94844,0.874,0.95196,0.65655,1.07823,0.73549,0.96677,0.000189475,0.000189475,0.000189475,9.47376e-05,0.000189475,0.000170528
74,910.327,1.12104,0.87632,0.9568,0.94463,0.87672,0.954,0.64951,1.09351,0.7386,0.96881,0.000177651,0.000177651,0.000177651,8.88253e-05,0.000177651,0.000159886
75,922.808,1.12435,0.8904,0.95793,0.93997,0.88183,0.95215,0.62047,1.1833,0.76214,0.99494,0.000166149,0.000166149,0.000166149,8.30746e-05,0.000166149,0.000149534
76,934.889,1.12438,0.89806,0.9516,0.93406,0.88545,0.95041,0.62487,1.15345,0.76702,0.98682,0.000154982,0.000154982,0.000154982,7.74911e-05,0.000154982,0.000139484
77,947.303,1.14085,0.89158,0.96214,0.93874,0.87994,0.95111,0.64425,1.10871,0.74708,0.97245,0.000144161,0.000144161,0.000144161,7.20803e-05,0.000144161,0.000129744
78,959.584,1.11419,0.88602,0.96515,0.93476,0.88107,0.95216,0.65665,1.0736,0.73553,0.96367,0.000133695,0.000133695,0.000133695,6.68475e-05,0.000133695,0.000120326
79,972.091,1.10791,0.88603,0.94914,0.9388,0.87985,0.95203,0.60988,1.20945,0.77206,0.99564,0.000123596,0.000123596,0.000123596,6.1798e-05,0.000123596,0.000111236
80,984.175,1.12115,0.87655,0.95402,0.92869,0.88403,0.95048,0.60785,1.22149,0.78758,1.00074,0.000113873,0.000113873,0.000113873,5.69366e-05,0.000113873,0.000102486
81,997.023,1.12027,0.88872,0.95512,0.93348,0.88483,0.95118,0.58967,1.27888,0.78339,1.01734,0.000104537,0.000104537,0.000104537,5.22683e-05,0.000104537,9.40829e-05
82,1009.37,1.11241,0.87988,0.95447,0.93665,0.87898,0.95119,0.62363,1.16808,0.75628,0.98864,9.55951e-05,9.55951e-05,9.55951e-05,4.77976e-05,9.55951e-05,8.60356e-05
83,1021.93,1.10004,0.88318,0.9512,0.94323,0.87446,0.94998,0.64446,1.10611,0.7376,0.97454,8.70577e-05,8.70577e-05,8.70577e-05,4.35288e-05,8.70577e-05,7.83519e-05
84,1034.2,1.11965,0.88623,0.95467,0.93657,0.88309,0.95261,0.62742,1.15185,0.74552,0.98484,7.89327e-05,7.89327e-05,7.89327e-05,3.94663e-05,7.89327e-05,7.10394e-05
85,1046.71,1.10392,0.88833,0.94474,0.9382,0.88422,0.95307,0.63843,1.13497,0.74002,0.98077,7.12282e-05,7.12282e-05,7.12282e-05,3.56141e-05,7.12282e-05,6.41054e-05
