epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5
1,14.4376,3.10135,4.73669,1.92403,0.00027,0.01099,0.00049,0.00021,1.99881,4.6402,1.43335,0.000328042,0.000328042,0.000328042,0.000164021,0.000328042,0.000295238
2,28.077,2.16564,4.0025,1.42295,0.42757,0.23056,0.10109,0.04498,1.79165,3.45186,1.30024,0.000661214,0.000661214,0.000661214,0.000330607,0.000661214,0.000595093
3,41.5581,1.94861,3.10442,1.27406,0.15292,0.37426,0.14699,0.06346,1.74505,3.71091,1.23319,0.000993737,0.000993737,0.000993737,0.000496869,0.000993737,0.000894364
4,54.2593,1.74086,2.6074,1.19169,0.1131,0.2548,0.10271,0.02463,2.02707,3.23899,1.30161,0.000997803,0.000997803,0.000997803,0.000498902,0.000997803,0.000898023
5,66.9834,1.68383,2.35434,1.16621,0.3566,0.49668,0.39421,0.227,1.48198,2.19051,1.14682,0.000996097,0.000996097,0.000996097,0.000498048,0.000996097,0.000896487
6,79.5038,1.63889,2.15111,1.13124,0.33382,0.37487,0.31211,0.10236,1.86637,2.59299,1.1798,0.000993906,0.000993906,0.000993906,0.000496953,0.000993906,0.000894515
7,92.1764,1.62459,2.12354,1.13319,0.48684,0.5202,0.47065,0.17877,1.74424,2.20208,1.1769,0.000991232,0.000991232,0.000991232,0.000495616,0.000991232,0.000892109
8,104.652,1.57799,1.97269,1.10769,0.51494,0.62223,0.59349,0.34855,1.29701,1.7788,1.06501,0.000988079,0.000988079,0.000988079,0.000494039,0.000988079,0.000889271
9,117.244,1.51521,1.86186,1.08559,0.56698,0.60919,0.59968,0.29959,1.4592,1.88826,1.10452,0.000984449,0.000984449,0.000984449,0.000492224,0.000984449,0.000886004
10,129.72,1.50848,1.76885,1.09013,0.68443,0.66729,0.71035,0.42431,1.27054,1.58669,1.05685,0.000980345,0.000980345,0.000980345,0.000490173,0.000980345,0.000882311
11,142.347,1.46359,1.65238,1.0655,0.69217,0.68295,0.7409,0.44431,1.31124,1.54108,1.05794,0.000975773,0.000975773,0.000975773,0.000487886,0.000975773,0.000878196
12,154.748,1.43106,1.58138,1.06113,0.72887,0.7113,0.78083,0.46359,1.35209,1.4537,1.0899,0.000970736,0.000970736,0.000970736,0.000485368,0.000970736,0.000873662
13,167.295,1.42494,1.51685,1.06729,0.7357,0.72315,0.80227,0.48766,1.27322,1.42218,1.0547,0.000965239,0.000965239,0.000965239,0.00048262,0.000965239,0.000868715
14,179.775,1.42923,1.48589,1.05453,0.74999,0.74993,0.81694,0.49249,1.27541,1.35643,1.04761,0.000959289,0.000959289,0.000959289,0.000479644,0.000959289,0.00086336
15,192.437,1.39709,1.45063,1.05248,0.81887,0.70366,0.80473,0.4524,1.37552,1.37452,1.07577,0.000952889,0.000952889,0.000952889,0.000476445,0.000952889,0.0008576
16,204.963,1.37692,1.41392,1.03839,0.80048,0.7342,0.836,0.48676,1.28947,1.30574,1.03989,0.000946048,0.000946048,0.000946048,0.000473024,0.000946048,0.000851443
17,217.553,1.38448,1.39197,1.04194,0.85563,0.73875,0.8541,0.51264,1.29217,1.22922,1.06793,0.000938772,0.000938772,0.000938772,0.000469386,0.000938772,0.000844895
18,230.036,1.43797,1.36151,1.06049,0.82913,0.77917,0.8597,0.53746,1.20077,1.18586,1.03355,0.000931067,0.000931067,0.000931067,0.000465534,0.000931067,0.000837961
19,242.599,1.33954,1.32519,1.02996,0.84725,0.78073,0.86341,0.51912,1.26578,1.21775,1.02888,0.000922942,0.000922942,0.000922942,0.000461471,0.000922942,0.000830648
20,255.098,1.34082,1.26966,1.03206,0.84437,0.77249,0.86057,0.42305,1.56698,1.24655,1.12428,0.000914405,0.000914405,0.000914405,0.000457202,0.000914405,0.000822964
21,267.709,1.34288,1.24212,1.0286,0.86121,0.78591,0.86667,0.43602,1.54719,1.22902,1.1079,0.000905463,0.000905463,0.000905463,0.000452732,0.000905463,0.000814917
22,280.082,1.37034,1.26085,1.02425,0.85023,0.82562,0.89887,0.59159,1.13345,1.06297,1.00319,0.000896127,0.000896127,0.000896127,0.000448063,0.000896127,0.000806514
23,292.646,1.37674,1.2339,1.03762,0.87402,0.81078,0.88818,0.52255,1.35164,1.08104,1.07208,0.000886404,0.000886404,0.000886404,0.000443202,0.000886404,0.000797764
24,305.112,1.29677,1.18492,1.0127,0.86756,0.80761,0.88888,0.49384,1.35104,1.15685,1.04861,0.000876305,0.000876305,0.000876305,0.000438152,0.000876305,0.000788674
25,317.717,1.30984,1.18863,1.01196,0.87622,0.82955,0.90087,0.55635,1.23771,1.05987,1.02605,0.000865839,0.000865839,0.000865839,0.00043292,0.000865839,0.000779256
26,330.162,1.28771,1.17911,1.0116,0.86506,0.80664,0.89591,0.54602,1.23285,1.06085,1.02219,0.000855018,0.000855018,0.000855018,0.000427509,0.000855018,0.000769516
27,342.776,1.29569,1.16876,1.00265,0.8462,0.79932,0.87536,0.47323,1.46891,1.16964,1.09366,0.000843851,0.000843851,0.000843851,0.000421925,0.000843851,0.000759466
28,355.192,1.25781,1.13108,1.0085,0.9018,0.80421,0.90112,0.56464,1.24514,1.01616,1.03409,0.000832349,0.000832349,0.000832349,0.000416175,0.000832349,0.000749114
29,367.856,1.32603,1.1583,1.01161,0.86354,0.83775,0.88776,0.58229,1.12951,1.00462,0.99303,0.000820525,0.000820525,0.000820525,0.000410262,0.000820525,0.000738472
30,380.206,1.26103,1.11623,0.99966,0.902,0.83428,0.90802,0.53773,1.32025,1.01154,1.03645,0.000808389,0.000808389,0.000808389,0.000404194,0.000808389,0.00072755
31,392.76,1.25171,1.08216,0.99293,0.90567,0.82565,0.91039,0.57705,1.19849,0.96219,1.01025,0.000795954,0.000795954,0.000795954,0.000397977,0.000795954,0.000716358
32,405.097,1.23113,1.07052,0.9915,0.88385,0.81125,0.90051,0.53793,1.28481,1.0201,1.03052,0.000783231,0.000783231,0.000783231,0.000391616,0.000783231,0.000704908
