epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5
1,3.04875,2.03742,3.66952,1.93902,0.00692,0.48868,0.00759,0.00244,2.22184,4.29047,2.22884,1e-05,1e-05,1e-05,5e-06,1e-05,9e-06
2,5.14985,2.03571,3.72937,1.93105,0.00684,0.45296,0.00588,0.002,2.24218,4.30963,2.24958,2.99927e-05,2.99927e-05,2.99927e-05,1.49963e-05,2.99927e-05,2.69934e-05
3,7.38451,1.84512,3.65706,2.07267,0.00738,0.44182,0.00585,0.00183,2.25121,4.31929,2.26469,4.99512e-05,4.99512e-05,4.99512e-05,2.49756e-05,4.99512e-05,4.4956e-05
4,9.42955,2.14092,3.77354,2.05549,0.00726,0.39791,0.00607,0.00184,2.26266,4.3389,2.27873,6.98462e-05,6.98462e-05,6.98462e-05,3.49231e-05,6.98462e-05,6.28616e-05
5,11.5582,2.17731,3.64762,2.15936,0.00622,0.35835,0.00519,0.00154,2.30778,4.37226,2.30887,8.96487e-05,8.96487e-05,8.96487e-05,4.48244e-05,8.96487e-05,8.06838e-05
6,13.5603,2.05054,3.7258,1.96645,0.0058,0.35425,0.0044,0.00136,2.33033,4.3781,2.31901,0.00010933,0.00010933,0.00010933,5.46648e-05,0.00010933,9.83967e-05
7,15.6652,2.18211,3.78989,2.17743,0.00593,0.36569,0.00465,0.00135,2.36722,4.39824,2.3461,0.00012886,0.00012886,0.00012886,6.44301e-05,0.00012886,0.000115974
8,17.6381,2.37905,3.81536,2.32935,0.00511,0.35245,0.00373,0.00115,2.38676,4.41912,2.36715,0.000148212,0.000148212,0.000148212,7.41059e-05,0.000148212,0.000133391
9,19.7453,2.11516,3.73303,2.44648,0.00504,0.35914,0.00374,0.00115,2.40917,4.4503,2.38387,0.000167356,0.000167356,0.000167356,8.36781e-05,0.000167356,0.000150621
10,21.7124,1.93247,3.69905,1.92063,0.00466,0.34724,0.00339,0.00102,2.44989,4.49275,2.41719,0.000186266,0.000186266,0.000186266,9.31328e-05,0.000186266,0.000167639
11,23.666,1.99974,3.70377,1.99787,0.00467,0.35756,0.00301,0.00091,2.52678,4.5428,2.46297,0.000204912,0.000204912,0.000204912,0.000102456,0.000204912,0.000184421
