epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5
1,2.81857,1.99366,3.6595,2.12612,0.00283,0.38048,0.00687,0.0028,2.21477,4.29527,2.22877,1e-05,1e-05,1e-05,5e-06,1e-05,9e-06
2,4.85975,2.13109,3.78406,2.10087,0.00312,0.39689,0.00692,0.00288,2.22068,4.29245,2.22538,2.99927e-05,2.99927e-05,2.99927e-05,1.49963e-05,2.99927e-05,2.69934e-05
3,7.0168,2.42031,3.7641,2.29414,0.00342,0.37144,0.00622,0.00273,2.23374,4.30559,2.23498,4.99512e-05,4.99512e-05,4.99512e-05,2.49756e-05,4.99512e-05,4.4956e-05
4,8.96734,2.33081,3.75283,2.13953,0.00367,0.36137,0.0065,0.00286,2.22232,4.32468,2.24608,6.98462e-05,6.98462e-05,6.98462e-05,3.49231e-05,6.98462e-05,6.28616e-05
5,11.0773,1.94511,3.84969,2.04061,0.00365,0.34372,0.00571,0.00273,2.25227,4.34617,2.27609,8.96487e-05,8.96487e-05,8.96487e-05,4.48244e-05,8.96487e-05,8.06838e-05
6,12.9895,2.02669,3.81819,1.91086,0.00385,0.35701,0.00548,0.00237,2.29283,4.36589,2.30376,0.00010933,0.00010933,0.00010933,5.46648e-05,0.00010933,9.83967e-05
7,15.0573,2.07512,3.74113,2.00641,0.0032,0.3532,0.00527,0.00224,2.30351,4.40642,2.32343,0.00012886,0.00012886,0.00012886,6.44301e-05,0.00012886,0.000115974
8,17.0083,2.27788,3.79213,2.26911,0.00275,0.3296,0.00435,0.00168,2.3383,4.4271,2.35311,0.000148212,0.000148212,0.000148212,7.41059e-05,0.000148212,0.000133391
9,19.0883,2.16409,3.65299,2.11876,0.00285,0.33548,0.00404,0.00149,2.36743,4.43648,2.37223,0.000167356,0.000167356,0.000167356,8.36781e-05,0.000167356,0.000150621
10,20.9992,2.37731,4.12239,2.35177,0.00267,0.3239,0.00338,0.00125,2.40061,4.46034,2.39804,0.000186266,0.000186266,0.000186266,9.31328e-05,0.000186266,0.000167639
11,22.9163,2.20081,3.8819,2.07769,0.00241,0.32546,0.00314,0.00112,2.45737,4.48753,2.43603,0.000204912,0.000204912,0.000204912,0.000102456,0.000204912,0.000184421
12,24.9673,1.82017,3.61179,2.00758,0.00271,0.33108,0.00375,0.00143,2.48818,4.49428,2.45597,0.000223269,0.000223269,0.000223269,0.000111635,0.000223269,0.000200942
13,27.0598,2.14793,3.70441,2.11726,0.00229,0.30633,0.00435,0.0017,2.55548,4.5142,2.50197,0.00024131,0.00024131,0.00024131,0.000120655,0.00024131,0.000217179
14,28.9681,1.95642,3.82373,2.03772,0.00272,0.31403,0.00726,0.00299,2.54995,4.51146,2.51012,0.000259008,0.000259008,0.000259008,0.000129504,0.000259008,0.000233107
15,31.0497,1.84705,3.58427,1.97733,0.00228,0.31859,0.00703,0.0026,2.54922,4.51527,2.5161,0.000276338,0.000276338,0.000276338,0.000138169,0.000276338,0.000248704
16,32.9576,1.9119,3.7101,1.82623,0.00248,0.32356,0.00951,0.00347,2.55329,4.52913,2.51451,0.000293275,0.000293275,0.000293275,0.000146637,0.000293275,0.000263947
17,35.0671,2.03737,3.75131,2.01958,0.00268,0.34412,0.01682,0.00566,2.53722,4.52376,2.50671,0.000309795,0.000309795,0.000309795,0.000154897,0.000309795,0.000278815
18,36.9704,1.96404,3.66451,2.00687,0.00247,0.34684,0.0273,0.00878,2.50209,4.48743,2.47986,0.000325874,0.000325874,0.000325874,0.000162937,0.000325874,0.000293286
19,39.0658,1.61491,3.58484,1.81641,0.00276,0.35934,0.03031,0.01138,2.45978,4.49053,2.46086,0.000341489,0.000341489,0.000341489,0.000170744,0.000341489,0.00030734
20,41.0083,1.80187,3.75573,1.97256,0.003,0.38053,0.03941,0.01488,2.42451,4.46529,2.43729,0.000356618,0.000356618,0.000356618,0.000178309,0.000356618,0.000320956
21,43.1266,2.25257,3.81007,2.34643,0.00336,0.39062,0.05255,0.02149,2.41632,4.44598,2.44028,0.00037124,0.00037124,0.00037124,0.00018562,0.00037124,0.000334116
22,45.0287,2.18691,3.68253,2.25003,0.00388,0.41326,0.05357,0.02418,2.40277,4.43601,2.43325,0.000385334,0.000385334,0.000385334,0.000192667,0.000385334,0.000346801
23,47.0928,1.87444,3.62359,2.08874,0.00435,0.42755,0.06015,0.02735,2.38429,4.41908,2.41605,0.000398882,0.000398882,0.000398882,0.000199441,0.000398882,0.000358994
24,49.0119,1.74853,3.45648,1.92915,0.00462,0.4472,0.06713,0.03091,2.37867,4.41972,2.40451,0.000411863,0.000411863,0.000411863,0.000205932,0.000411863,0.000370677
25,51.0859,2.05526,3.66066,2.08517,0.00495,0.47176,0.07023,0.0327,2.38871,4.40351,2.40671,0.000424261,0.000424261,0.000424261,0.000212131,0.000424261,0.000381835
26,53.0339,1.87208,3.61673,1.82413,0.00499,0.48336,0.07335,0.02952,2.39795,4.38298,2.40023,0.000436059,0.000436059,0.000436059,0.00021803,0.000436059,0.000392453
27,55.1265,2.03341,3.66881,2.12283,0.0053,0.51427,0.074,0.02884,2.40818,4.38447,2.39381,0.000447241,0.000447241,0.000447241,0.00022362,0.000447241,0.000402517
28,57.0939,1.66672,3.41223,1.80538,0.00601,0.55133,0.07739,0.02844,2.41156,4.41028,2.37545,0.000457792,0.000457792,0.000457792,0.000228896,0.000457792,0.000412013
29,59.2089,1.71664,3.41404,1.83487,0.00605,0.55675,0.07419,0.02681,2.46012,4.4232,2.39541,0.000467699,0.000467699,0.000467699,0.00023385,0.000467699,0.000420929
30,61.1887,1.65527,3.392,1.73585,0.00627,0.57971,0.07641,0.02681,2.49415,4.42992,2.41059,0.00047695,0.00047695,0.00047695,0.000238475,0.00047695,0.000429255
31,63.3358,1.89126,3.4771,1.77673,0.00605,0.57876,0.08026,0.02789,2.50007,4.42986,2.40458,0.000485532,0.000485532,0.000485532,0.000242766,0.000485532,0.000436979
32,65.2391,1.82127,3.40856,1.84477,0.00582,0.56168,0.08243,0.02849,2.49693,4.41973,2.39966,0.000493436,0.000493436,0.000493436,0.000246718,0.000493436,0.000444092
33,67.3212,1.5218,3.16947,1.5947,0.00598,0.59304,0.0917,0.03383,2.49345,4.37783,2.40114,0.000500652,0.000500652,0.000500652,0.000250326,0.000500652,0.000450587
34,69.2536,1.70476,3.30778,1.75935,0.00621,0.61135,0.09873,0.03508,2.49371,4.36479,2.38644,0.000507174,0.000507174,0.000507174,0.000253587,0.000507174,0.000456456
35,71.3627,1.88801,3.39628,1.88956,0.00623,0.6416,0.09845,0.03725,2.47972,4.3452,2.36435,0.000512993,0.000512993,0.000512993,0.000256496,0.000512993,0.000461694
36,73.2802,1.62162,2.97074,1.73059,0.00634,0.65196,0.10491,0.03728,2.49885,4.32471,2.36997,0.000518105,0.000518105,0.000518105,0.000259052,0.000518105,0.000466294
37,75.3497,1.59946,3.13828,1.80922,0.00623,0.65918,0.1088,0.03795,2.49324,4.29042,2.37322,0.000522505,0.000522505,0.000522505,0.000261253,0.000522505,0.000470255
38,77.2759,1.56313,3.20959,1.72802,0.00625,0.67375,0.11687,0.04048,2.46254,4.24788,2.3627,0.000526191,0.000526191,0.000526191,0.000263096,0.000526191,0.000473572
39,79.3363,1.70581,2.99894,1.71077,0.04351,0.27375,0.11949,0.04361,2.46646,4.22877,2.37463,0.000529161,0.000529161,0.000529161,0.00026458,0.000529161,0.000476245
40,81.2665,1.82069,3.07783,1.86608,0.58419,0.06462,0.11923,0.04648,2.46028,4.19975,2.36915,0.000531413,0.000531413,0.000531413,0.000265707,0.000531413,0.000478272
41,83.3677,1.89301,3.25663,1.84002,0.58665,0.05568,0.12164,0.04667,2.46972,4.19605,2.37467,0.00053295,0.00053295,0.00053295,0.000266475,0.00053295,0.000479655
42,85.355,1.7565,3.08029,1.76242,0.52837,0.06765,0.12897,0.04946,2.45837,4.17915,2.36778,0.000533773,0.000533773,0.000533773,0.000266887,0.000533773,0.000480396
43,87.4894,1.65146,3.04309,1.73454,0.57365,0.0859,0.11756,0.04719,2.49339,4.15958,2.40228,0.000533886,0.000533886,0.000533886,0.000266943,0.000533886,0.000480498
44,89.4179,1.75878,2.95566,1.85264,0.42702,0.0825,0.10648,0.04156,2.54544,4.16957,2.44568,0.000533293,0.000533293,0.000533293,0.000266647,0.000533293,0.000479964
45,91.4934,1.71202,2.88364,1.77366,0.39331,0.09027,0.10807,0.04195,2.54301,4.1664,2.42819,0.000532001,0.000532001,0.000532001,0.000266,0.000532001,0.000478801
46,93.4266,1.64969,3.15105,1.79552,0.39915,0.13226,0.10511,0.04166,2.50248,4.13919,2.41427,0.000530016,0.000530016,0.000530016,0.000265008,0.000530016,0.000477014
47,95.5032,1.72543,2.82175,1.84256,0.28539,0.14757,0.0961,0.04045,2.49133,4.10521,2.41695,0.000527347,0.000527347,0.000527347,0.000263674,0.000527347,0.000474612
48,97.4398,1.8179,2.85151,1.74942,0.17853,0.18056,0.10027,0.04177,2.45912,4.07663,2.39991,0.000524004,0.000524004,0.000524004,0.000262002,0.000524004,0.000471604
49,99.5449,1.6131,2.73553,1.64372,0.19566,0.20428,0.1114,0.04384,2.44858,4.0499,2.40724,0.000519999,0.000519999,0.000519999,0.000259999,0.000519999,0.000467999
50,101.473,2.02973,2.93796,2.11096,0.19578,0.21136,0.1145,0.04468,2.45266,4.04691,2.42916,0.000515343,0.000515343,0.000515343,0.000257671,0.000515343,0.000463809
51,103.574,1.67625,2.65801,1.79305,0.17442,0.22549,0.12087,0.04745,2.44492,4.0438,2.44033,0.000505,0.000505,0.000505,0.0002525,0.000505,0.0004545
52,105.469,1.74559,2.79442,1.74434,0.19644,0.24309,0.12359,0.04856,2.41696,4.09641,2.44401,0.000489452,0.000489452,0.000489452,0.000244726,0.000489452,0.000440507
53,107.546,1.66222,2.72707,1.73229,0.19525,0.25971,0.12757,0.05045,2.40932,4.16494,2.45446,0.000473919,0.000473919,0.000473919,0.000236959,0.000473919,0.000426527
54,109.466,2.03374,3.04225,2.03696,0.21016,0.28847,0.1322,0.05323,2.40519,4.35768,2.4705,0.000458416,0.000458416,0.000458416,0.000229208,0.000458416,0.000412575
55,111.548,1.63713,2.83676,1.75231,0.19339,0.31991,0.14848,0.06193,2.39519,4.37978,2.47785,0.00044296,0.00044296,0.00044296,0.00022148,0.00044296,0.000398664
