epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,11.3697,1.81129,3.62222,1.88102,0.00765,0.90207,0.13365,0.0527,1.93594,3.95561,2.01884,0.000328042,0.000328042,0.000328042,0.000164021,0.000656085
2,21.9081,1.84095,3.11684,1.85021,0.32884,0.28935,0.24609,0.0899,2.10262,3.99508,2.10828,0.000661214,0.000661214,0.000661214,0.000330607,0.00132243
3,31.9161,1.83462,2.67098,1.83243,0.45283,0.45772,0.32992,0.13718,2.01841,5.13344,2.09404,0.000993737,0.000993737,0.000993737,0.000496869,0.00198747
4,42.4538,1.7917,2.53589,1.82062,0.62249,0.35504,0.32623,0.1239,2.15996,3.9763,2.2128,0.000997803,0.000997803,0.000997803,0.000498902,0.00199561
5,52.7074,1.76862,2.38698,1.80631,0.31563,0.5659,0.34529,0.13904,1.90072,3.26213,2.06391,0.000996097,0.000996097,0.000996097,0.000498048,0.00199219
6,63.8248,1.70132,2.31635,1.75406,0.37543,0.54723,0.43194,0.19527,1.84735,2.86523,1.96814,0.000993906,0.000993906,0.000993906,0.000496953,0.00198781
7,74.5963,1.70137,2.19578,1.73551,0.35059,0.56912,0.44764,0.18356,1.8452,2.80435,1.96337,0.000991232,0.000991232,0.000991232,0.000495616,0.00198246
8,85.8687,1.68608,2.13292,1.71773,0.50962,0.53567,0.4851,0.21115,1.87279,2.37636,1.98424,0.000988079,0.000988079,0.000988079,0.000494039,0.00197616
9,96.8641,1.67616,2.07899,1.71298,0.62845,0.36104,0.43668,0.18835,1.83252,2.54501,1.90822,0.000984449,0.000984449,0.000984449,0.000492224,0.0019689
10,107.266,1.61977,2.02572,1.67618,0.42588,0.55158,0.53389,0.23347,1.76829,2.50227,1.88694,0.000980345,0.000980345,0.000980345,0.000490173,0.00196069
11,117.692,1.62139,1.97982,1.67277,0.50775,0.50093,0.46888,0.2176,1.76636,2.25191,1.82917,0.000975773,0.000975773,0.000975773,0.000487886,0.00195155
12,128.553,1.62887,1.95202,1.65726,0.37783,0.60317,0.46886,0.21023,1.81132,2.229,1.90547,0.000970736,0.000970736,0.000970736,0.000485368,0.00194147
13,139.067,1.62353,1.92221,1.65132,0.49978,0.55336,0.56741,0.26685,1.6981,2.18607,1.85434,0.000965239,0.000965239,0.000965239,0.00048262,0.00193048
14,149.644,1.59666,1.928,1.64947,0.43791,0.58105,0.50811,0.24063,1.85965,2.18329,1.88046,0.000959289,0.000959289,0.000959289,0.000479644,0.00191858
15,160.788,1.57423,1.85723,1.65961,0.52769,0.60892,0.60557,0.27139,1.75016,2.03203,1.81115,0.000952889,0.000952889,0.000952889,0.000476445,0.00190578
16,171.794,1.56764,1.84719,1.63891,0.54617,0.56266,0.60189,0.26158,1.82442,2.05711,1.90187,0.000946048,0.000946048,0.000946048,0.000473024,0.0018921
17,182.132,1.57655,1.82326,1.61949,0.43162,0.63662,0.55738,0.24427,1.81028,2.10602,1.89494,0.000938772,0.000938772,0.000938772,0.000469386,0.00187754
18,192.575,1.5757,1.85879,1.66771,0.48787,0.56324,0.56116,0.26068,1.79122,1.93452,1.86959,0.000931067,0.000931067,0.000931067,0.000465534,0.00186213
19,203.308,1.53257,1.77196,1.60386,0.65397,0.58139,0.56524,0.27286,1.74138,1.90018,1.82277,0.000922942,0.000922942,0.000922942,0.000461471,0.00184588
20,214.077,1.56569,1.80321,1.62367,0.51796,0.55012,0.52476,0.24636,1.72849,1.93647,1.80434,0.000914405,0.000914405,0.000914405,0.000457202,0.00182881
21,224.945,1.53058,1.72951,1.60248,0.53061,0.62715,0.60798,0.28994,1.76894,1.86074,1.88442,0.000905463,0.000905463,0.000905463,0.000452732,0.00181093
22,235.274,1.53269,1.74601,1.61553,0.55862,0.50613,0.48792,0.23927,1.79668,1.90367,1.87554,0.000896127,0.000896127,0.000896127,0.000448063,0.00179225
23,246.178,1.53115,1.7144,1.59054,0.42688,0.59527,0.53863,0.25173,1.75757,1.96772,1.85142,0.000886404,0.000886404,0.000886404,0.000443202,0.00177281
24,256.558,1.50314,1.68043,1.59214,0.54538,0.60786,0.6198,0.29597,1.73469,1.76093,1.78525,0.000876305,0.000876305,0.000876305,0.000438152,0.00175261
25,267.017,1.47424,1.65824,1.55867,0.65481,0.5506,0.61474,0.3003,1.74908,1.76995,1.8443,0.000865839,0.000865839,0.000865839,0.00043292,0.00173168
26,277.106,1.50055,1.67197,1.59998,0.50234,0.62087,0.6027,0.27973,1.71925,1.8346,1.7902,0.000855018,0.000855018,0.000855018,0.000427509,0.00171004
27,287.345,1.51489,1.67868,1.601,0.54694,0.6785,0.65978,0.32917,1.63776,1.69493,1.74868,0.000843851,0.000843851,0.000843851,0.000421925,0.0016877
28,297.842,1.48994,1.65737,1.57894,0.69919,0.56115,0.64237,0.30477,1.71172,1.69036,1.80766,0.000832349,0.000832349,0.000832349,0.000416175,0.0016647
29,307.914,1.47746,1.66748,1.58829,0.55845,0.60594,0.63146,0.30504,1.67737,1.72406,1.75336,0.000820525,0.000820525,0.000820525,0.000410262,0.00164105
30,318.131,1.49262,1.61707,1.59758,0.51939,0.64755,0.64057,0.31498,1.67268,1.66439,1.79682,0.000808389,0.000808389,0.000808389,0.000404194,0.00161678
31,327.581,1.44119,1.57076,1.55665,0.54403,0.69121,0.65635,0.317,1.65964,1.63249,1.77483,0.000795954,0.000795954,0.000795954,0.000397977,0.00159191
32,338.04,1.48622,1.59658,1.55594,0.58732,0.6584,0.66133,0.32044,1.69949,1.64831,1.76429,0.000783231,0.000783231,0.000783231,0.000391616,0.00156646
33,347.209,1.44093,1.56218,1.54262,0.54957,0.67125,0.66995,0.32882,1.6876,1.65505,1.79462,0.000770234,0.000770234,0.000770234,0.000385117,0.00154047
34,357.744,1.47102,1.57976,1.56338,0.59027,0.58856,0.60893,0.28352,1.78534,1.63279,1.83319,0.000756976,0.000756976,0.000756976,0.000378488,0.00151395
35,367.978,1.46901,1.58868,1.55991,0.58379,0.65414,0.63819,0.32411,1.63753,1.61058,1.73411,0.000743468,0.000743468,0.000743468,0.000371734,0.00148694
36,377.667,1.43306,1.5519,1.54367,0.60245,0.6723,0.70296,0.34306,1.68777,1.55013,1.74318,0.000729725,0.000729725,0.000729725,0.000364863,0.00145945
37,387.978,1.46303,1.55248,1.5346,0.71815,0.57092,0.64948,0.31216,1.71356,1.6344,1.76939,0.000715761,0.000715761,0.000715761,0.00035788,0.00143152
38,398.187,1.42829,1.5294,1.53164,0.52743,0.66253,0.65637,0.32649,1.63372,1.62754,1.7388,0.000701588,0.000701588,0.000701588,0.000350794,0.00140318
39,408.403,1.46173,1.53105,1.56321,0.54138,0.67479,0.65884,0.3109,1.75219,1.58978,1.83781,0.000687222,0.000687222,0.000687222,0.000343611,0.00137444
40,418.555,1.41574,1.52409,1.53823,0.67184,0.6408,0.67686,0.33591,1.64722,1.52747,1.70731,0.000672675,0.000672675,0.000672675,0.000336338,0.00134535
41,428.966,1.39283,1.50591,1.52416,0.6424,0.66818,0.68603,0.33955,1.65513,1.58092,1.74788,0.000657963,0.000657963,0.000657963,0.000328982,0.00131593
42,439.912,1.39977,1.51087,1.53015,0.59932,0.64992,0.65397,0.32358,1.66345,1.58376,1.74532,0.000643101,0.000643101,0.000643101,0.00032155,0.0012862
43,448.54,1.43222,1.51131,1.52839,0.59196,0.67995,0.69652,0.35121,1.68517,1.50227,1.74401,0.000628101,0.000628101,0.000628101,0.000314051,0.0012562
44,457.652,1.42733,1.49844,1.54564,0.56216,0.68867,0.65338,0.32098,1.67615,1.6021,1.71342,0.000612981,0.000612981,0.000612981,0.00030649,0.00122596
45,468.159,1.41434,1.46937,1.51758,0.65248,0.67166,0.69813,0.35386,1.62202,1.5211,1.71207,0.000597754,0.000597754,0.000597754,0.000298877,0.00119551
46,477.384,1.39005,1.46014,1.51546,0.64145,0.63874,0.70608,0.36725,1.62264,1.49666,1.71871,0.000582435,0.000582435,0.000582435,0.000291218,0.00116487
47,487.289,1.38877,1.46055,1.5134,0.62997,0.64424,0.67492,0.34305,1.70483,1.51586,1.75011,0.00056704,0.00056704,0.00056704,0.00028352,0.00113408
48,497.801,1.39165,1.46645,1.51311,0.60704,0.69487,0.70655,0.3547,1.63671,1.51695,1.72221,0.000551584,0.000551584,0.000551584,0.000275792,0.00110317
49,507.96,1.36678,1.42751,1.47523,0.66801,0.59447,0.66356,0.3422,1.68572,1.50316,1.76684,0.000536081,0.000536081,0.000536081,0.000268041,0.00107216
50,518.215,1.39738,1.45342,1.52256,0.75522,0.58477,0.67431,0.34121,1.654,1.50511,1.7325,0.000520548,0.000520548,0.000520548,0.000260274,0.0010411
51,528.497,1.37295,1.4275,1.47948,0.5568,0.65884,0.6658,0.3374,1.64147,1.54367,1.73129,0.000505,0.000505,0.000505,0.0002525,0.00101
52,539.888,1.38944,1.46361,1.5031,0.62556,0.65902,0.69459,0.36085,1.64099,1.50001,1.7331,0.000489452,0.000489452,0.000489452,0.000244726,0.000978903
53,550.438,1.41108,1.45947,1.51133,0.60191,0.67458,0.7029,0.35968,1.65375,1.46944,1.74016,0.000473919,0.000473919,0.000473919,0.000236959,0.000947837
54,559.86,1.37998,1.41773,1.47143,0.80773,0.60226,0.71482,0.37757,1.62699,1.4092,1.72896,0.000458416,0.000458416,0.000458416,0.000229208,0.000916833
55,569.035,1.36959,1.4266,1.49165,0.67418,0.64616,0.67859,0.34881,1.60377,1.50655,1.71027,0.00044296,0.00044296,0.00044296,0.00022148,0.00088592
56,578.436,1.33987,1.41232,1.46909,0.62855,0.66165,0.70175,0.35815,1.62463,1.44731,1.73281,0.000427565,0.000427565,0.000427565,0.000213782,0.00085513
57,587.706,1.32257,1.37858,1.45718,0.60673,0.66596,0.68208,0.33292,1.66846,1.47702,1.74594,0.000412246,0.000412246,0.000412246,0.000206123,0.000824492
58,596.891,1.36501,1.39414,1.48331,0.60106,0.63462,0.67995,0.33517,1.66309,1.4557,1.72973,0.000397019,0.000397019,0.000397019,0.00019851,0.000794038
59,606.181,1.33926,1.35596,1.45557,0.6009,0.7015,0.71209,0.3628,1.6233,1.43701,1.71571,0.000381899,0.000381899,0.000381899,0.000190949,0.000763797
60,615.755,1.3366,1.37116,1.45995,0.59964,0.70732,0.70361,0.35053,1.63486,1.43605,1.70347,0.000366899,0.000366899,0.000366899,0.00018345,0.000733799
61,625.054,1.32695,1.3547,1.46092,0.66075,0.67911,0.73304,0.37384,1.60932,1.42395,1.69441,0.000352037,0.000352037,0.000352037,0.000176018,0.000704073
62,634.447,1.3291,1.35006,1.45277,0.5653,0.71216,0.7017,0.35034,1.62323,1.46381,1.70622,0.000337325,0.000337325,0.000337325,0.000168662,0.000674649
63,643.638,1.33875,1.34343,1.46216,0.65272,0.63552,0.69682,0.36107,1.60869,1.40055,1.70132,0.000322778,0.000322778,0.000322778,0.000161389,0.000645557
64,652.944,1.34243,1.34522,1.4573,0.61123,0.62994,0.66832,0.33675,1.63333,1.47445,1.71304,0.000308412,0.000308412,0.000308412,0.000154206,0.000616824
65,662.134,1.29503,1.3131,1.42986,0.61288,0.66853,0.70342,0.36355,1.63884,1.39882,1.72232,0.000294239,0.000294239,0.000294239,0.00014712,0.000588479
66,671.46,1.2935,1.32431,1.42993,0.56585,0.68881,0.6974,0.35993,1.61599,1.4324,1.70536,0.000280275,0.000280275,0.000280275,0.000140137,0.000560549
67,681.516,1.31049,1.32789,1.43768,0.67129,0.64529,0.71094,0.35336,1.68735,1.41845,1.74336,0.000266532,0.000266532,0.000266532,0.000133266,0.000533064
68,691.928,1.30606,1.34149,1.44395,0.58501,0.70685,0.70713,0.36582,1.62347,1.40767,1.69723,0.000253024,0.000253024,0.000253024,0.000126512,0.000506049
69,702.313,1.29604,1.33105,1.4489,0.65746,0.67971,0.7257,0.3691,1.63517,1.40796,1.71572,0.000239766,0.000239766,0.000239766,0.000119883,0.000479531
70,712.652,1.27071,1.29318,1.41755,0.59678,0.64979,0.68705,0.36313,1.60206,1.41834,1.68369,0.000226769,0.000226769,0.000226769,0.000113384,0.000453537
71,722.151,1.29629,1.31017,1.43183,0.6119,0.66192,0.70077,0.35985,1.58871,1.41729,1.68128,0.000214046,0.000214046,0.000214046,0.000107023,0.000428093
72,732.196,1.2723,1.31349,1.43621,0.67087,0.63042,0.70731,0.37178,1.60595,1.37868,1.67947,0.000201611,0.000201611,0.000201611,0.000100806,0.000403222
73,742.598,1.29113,1.31595,1.42995,0.64624,0.63423,0.69435,0.36512,1.59622,1.38655,1.67447,0.000189475,0.000189475,0.000189475,9.47376e-05,0.00037895
