epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,12.6702,1.85221,3.59522,1.86338,0.00645,0.70411,0.1126,0.04532,2.17035,4.14949,2.2202,0.000328042,0.000328042,0.000328042,0.000164021,0.000656085
2,24.4929,1.80808,2.98582,1.79842,0.20978,0.19952,0.14201,0.04938,2.34977,3.81805,2.43935,0.000661214,0.000661214,0.000661214,0.000330607,0.00132243
3,36.2761,1.86539,2.76975,1.89961,0.43201,0.25184,0.10565,0.03824,2.28106,6.24882,2.41146,0.000993737,0.000993737,0.000993737,0.000496869,0.00198747
4,47.7248,1.83035,2.5852,1.8869,0.4032,0.36315,0.27147,0.102,2.01623,4.22262,2.19918,0.000997803,0.000997803,0.000997803,0.000498902,0.00199561
5,59.2054,1.74815,2.38931,1.81697,0.25877,0.38108,0.26222,0.10361,2.08387,3.41962,2.14965,0.000996097,0.000996097,0.000996097,0.000498048,0.00199219
6,70.7711,1.72221,2.26225,1.7913,0.25967,0.52627,0.31164,0.11575,2.03982,3.4583,2.19606,0.000993906,0.000993906,0.000993906,0.000496953,0.00198781
7,82.4411,1.75505,2.28483,1.80229,0.45295,0.42159,0.35507,0.13982,1.89943,2.96889,2.02705,0.000991232,0.000991232,0.000991232,0.000495616,0.00198246
8,94.1219,1.69628,2.18711,1.76231,0.27041,0.50289,0.35979,0.15316,1.858,3.27104,2.07262,0.000988079,0.000988079,0.000988079,0.000494039,0.00197616
9,105.599,1.6555,2.15048,1.73882,0.47711,0.40122,0.37961,0.16518,2.06766,2.58021,2.05423,0.000984449,0.000984449,0.000984449,0.000492224,0.0019689
10,117.269,1.6691,2.04673,1.71694,0.46826,0.44291,0.39139,0.16776,1.85503,2.69052,1.96795,0.000980345,0.000980345,0.000980345,0.000490173,0.00196069
11,128.873,1.6415,2.06061,1.71792,0.33499,0.54758,0.46016,0.21152,1.77025,2.50518,1.90094,0.000975773,0.000975773,0.000975773,0.000487886,0.00195155
12,140.226,1.61692,1.96871,1.67117,0.51474,0.45464,0.436,0.18215,1.93942,2.54634,1.98682,0.000970736,0.000970736,0.000970736,0.000485368,0.00194147
13,151.653,1.61309,1.9512,1.68834,0.39152,0.51436,0.42527,0.17749,1.95092,2.73337,2.06648,0.000965239,0.000965239,0.000965239,0.00048262,0.00193048
14,163.337,1.55607,1.89594,1.64465,0.44034,0.50881,0.54611,0.26058,1.73665,2.17656,1.83011,0.000959289,0.000959289,0.000959289,0.000479644,0.00191858
15,174.895,1.57807,1.90362,1.66808,0.40547,0.47313,0.4259,0.19898,1.86173,2.40567,2.02483,0.000952889,0.000952889,0.000952889,0.000476445,0.00190578
16,186.423,1.58032,1.89375,1.67726,0.58785,0.50511,0.52876,0.24133,1.81755,2.18097,1.92247,0.000946048,0.000946048,0.000946048,0.000473024,0.0018921
17,198.05,1.53427,1.84876,1.63753,0.48416,0.60492,0.5882,0.28458,1.72526,2.01622,1.86907,0.000938772,0.000938772,0.000938772,0.000469386,0.00187754
18,209.388,1.54349,1.8181,1.64094,0.46592,0.47008,0.48609,0.21727,1.76805,2.15137,1.84433,0.000931067,0.000931067,0.000931067,0.000465534,0.00186213
19,220.957,1.53399,1.78661,1.6237,0.50642,0.5335,0.57209,0.27039,1.75593,1.96745,1.83877,0.000922942,0.000922942,0.000922942,0.000461471,0.00184588
20,232.732,1.55643,1.78655,1.65767,0.52312,0.57724,0.57967,0.2771,1.70255,1.96754,1.87219,0.000914405,0.000914405,0.000914405,0.000457202,0.00182881
21,244.408,1.53611,1.79526,1.64664,0.52441,0.56217,0.5922,0.27202,1.75999,2.02901,1.8571,0.000905463,0.000905463,0.000905463,0.000452732,0.00181093
22,255.952,1.51862,1.79412,1.64048,0.51489,0.56919,0.60496,0.26563,1.79226,1.96632,1.83835,0.000896127,0.000896127,0.000896127,0.000448063,0.00179225
23,267.489,1.53271,1.77765,1.64578,0.52655,0.54062,0.55874,0.2752,1.73182,1.93448,1.83284,0.000886404,0.000886404,0.000886404,0.000443202,0.00177281
24,279.201,1.52388,1.76995,1.61494,0.66005,0.50232,0.58561,0.28253,1.76093,1.88793,1.89632,0.000876305,0.000876305,0.000876305,0.000438152,0.00175261
25,290.664,1.51063,1.70785,1.61388,0.51003,0.57065,0.57795,0.26487,1.8164,2.00018,1.945,0.000865839,0.000865839,0.000865839,0.00043292,0.00173168
26,302.062,1.50015,1.68867,1.61247,0.51227,0.58953,0.59553,0.28457,1.77168,1.77287,1.84321,0.000855018,0.000855018,0.000855018,0.000427509,0.00171004
27,313.541,1.47505,1.66238,1.60009,0.77113,0.55961,0.66966,0.33811,1.65051,1.73687,1.75291,0.000843851,0.000843851,0.000843851,0.000421925,0.0016877
28,325.184,1.49539,1.66734,1.60622,0.4853,0.62669,0.60374,0.30225,1.66834,1.77676,1.75183,0.000832349,0.000832349,0.000832349,0.000416175,0.0016647
29,336.514,1.47002,1.62824,1.58773,0.56451,0.61869,0.63227,0.32682,1.65546,1.72082,1.77566,0.000820525,0.000820525,0.000820525,0.000410262,0.00164105
