epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,3.19092,1.90074,3.75153,1.85912,0.00936,0.51266,0.01362,0.00479,2.145,4.22927,2.13329,6e-05,6e-05,6e-05,3e-05,0.00012
2,5.50246,1.79786,3.72691,1.85438,0.0094,0.51567,0.02045,0.00671,2.17073,4.2301,2.09779,0.000129968,0.000129968,0.000129968,6.49841e-05,0.000259936
3,8.14525,1.93051,3.71383,1.92069,0.01048,0.60798,0.03776,0.01226,2.40716,4.26391,2.21536,0.000199805,0.000199805,0.000199805,9.99023e-05,0.000399609
4,10.4495,1.53237,3.57344,1.67849,0.00907,0.75047,0.06585,0.02399,2.25643,4.2166,2.14265,0.000269407,0.000269407,0.000269407,0.000134703,0.000538814
5,12.6829,1.6565,3.5429,1.77647,0.00788,0.84951,0.10936,0.04071,2.05876,4.13434,2.05888,0.000338673,0.000338673,0.000338673,0.000169336,0.000677346
6,14.9056,1.71473,3.43932,1.75582,0.00763,0.86963,0.12863,0.04492,2.01279,4.11415,2.04524,0.000407501,0.000407501,0.000407501,0.000203751,0.000815003
7,17.1116,1.72679,3.37902,1.74892,0.00777,0.86624,0.14749,0.05348,2.0151,4.07828,2.07257,0.000475791,0.000475791,0.000475791,0.000237896,0.000951583
8,19.5392,1.56037,3.24891,1.64551,0.00788,0.86086,0.15245,0.05361,2.04884,3.99793,2.1038,0.000543443,0.000543443,0.000543443,0.000271722,0.00108689
9,21.763,1.63364,3.18751,1.7628,0.70141,0.04954,0.13983,0.04829,2.09599,3.88571,2.19516,0.000610358,0.000610358,0.000610358,0.000305179,0.00122072
10,23.9274,1.61334,2.98273,1.65403,0.4318,0.06004,0.15254,0.05614,2.11568,3.68852,2.26447,0.000676438,0.000676438,0.000676438,0.000338219,0.00135288
11,26.2105,1.6694,2.99402,1.70634,0.20237,0.19175,0.1653,0.06248,2.19275,3.56673,2.42145,0.000741587,0.000741587,0.000741587,0.000370794,0.00148317
12,28.5494,1.62815,2.78975,1.71471,0.18953,0.26741,0.17429,0.06605,2.18248,3.50149,2.3826,0.000805711,0.000805711,0.000805711,0.000402855,0.00161142
13,30.7668,1.73573,2.77485,1.74675,0.20315,0.37588,0.18747,0.06749,2.15693,3.53821,2.35779,0.000868715,0.000868715,0.000868715,0.000434358,0.00173743
14,32.8641,1.62701,2.80217,1.73628,0.13635,0.45517,0.14984,0.05292,2.24009,4.25963,2.51347,0.00093051,0.00093051,0.00093051,0.000465255,0.00186102
15,35.0129,1.74347,2.66187,1.73535,0.17027,0.26828,0.12476,0.04188,2.4057,5.67782,2.69387,0.000952889,0.000952889,0.000952889,0.000476445,0.00190578
16,37.4114,1.77306,2.85249,1.91987,0.26519,0.2907,0.18644,0.06539,2.30142,5.4473,2.56038,0.000946048,0.000946048,0.000946048,0.000473024,0.0018921
17,39.6641,1.65343,2.63603,1.77003,0.26349,0.48331,0.26556,0.10004,2.12325,5.15358,2.3748,0.000938772,0.000938772,0.000938772,0.000469386,0.00187754
18,41.913,1.52425,2.4928,1.66909,0.31026,0.43165,0.30072,0.10983,2.03859,4.83459,2.30407,0.000931067,0.000931067,0.000931067,0.000465534,0.00186213
19,44.1679,1.6817,2.50789,1.78146,0.30836,0.49511,0.29298,0.11383,1.96784,5.08161,2.17587,0.000922942,0.000922942,0.000922942,0.000461471,0.00184588
20,46.5769,1.55017,2.49327,1.68718,0.30539,0.47005,0.29599,0.11208,1.97705,4.54416,2.15829,0.000914405,0.000914405,0.000914405,0.000457202,0.00182881
21,48.8383,1.66638,2.51947,1.78986,0.32941,0.35867,0.30651,0.12165,1.93583,4.43321,2.12687,0.000905463,0.000905463,0.000905463,0.000452732,0.00181093
22,51.1293,1.67274,2.55945,1.83133,0.27964,0.43766,0.29516,0.11951,2.00732,4.93389,2.16942,0.000896127,0.000896127,0.000896127,0.000448063,0.00179225
23,53.3336,1.55172,2.3883,1.6944,0.26417,0.42182,0.26652,0.11256,2.08948,5.38015,2.23237,0.000886404,0.000886404,0.000886404,0.000443202,0.00177281
24,55.7489,1.49246,2.33576,1.69564,0.28904,0.3915,0.2662,0.10528,2.15517,5.22014,2.26026,0.000876305,0.000876305,0.000876305,0.000438152,0.00175261
25,57.9992,1.50135,2.26957,1.64078,0.25913,0.44363,0.28441,0.10584,2.17078,4.82331,2.25553,0.000865839,0.000865839,0.000865839,0.00043292,0.00173168
26,60.2479,1.61669,2.3342,1.72603,0.27165,0.3593,0.28599,0.10889,2.19709,4.29556,2.25355,0.000855018,0.000855018,0.000855018,0.000427509,0.00171004
27,62.5073,1.59033,2.23433,1.69832,0.47777,0.35166,0.30066,0.11936,2.16629,4.06784,2.23576,0.000843851,0.000843851,0.000843851,0.000421925,0.0016877
28,64.8809,1.5042,2.22004,1.63381,0.48427,0.34917,0.31131,0.12389,2.1679,3.78877,2.22693,0.000832349,0.000832349,0.000832349,0.000416175,0.0016647
29,67.153,1.5858,2.20591,1.63857,0.22043,0.43326,0.27113,0.11189,2.22258,3.69572,2.25856,0.000820525,0.000820525,0.000820525,0.000410262,0.00164105
30,69.3877,1.54156,2.11699,1.64895,0.2359,0.44983,0.2737,0.10877,2.19015,3.63807,2.23742,0.000808389,0.000808389,0.000808389,0.000404194,0.00161678
31,71.5882,1.52392,2.13139,1.57584,0.37623,0.40059,0.25641,0.10522,2.12626,3.51339,2.20386,0.000795954,0.000795954,0.000795954,0.000397977,0.00159191
32,73.9488,1.38936,2.03814,1.54656,0.40883,0.38148,0.26676,0.10974,2.05782,3.53405,2.15467,0.000783231,0.000783231,0.000783231,0.000391616,0.00156646
33,76.1436,1.45466,2.00216,1.56435,0.45764,0.36427,0.28921,0.12506,2.01181,3.63025,2.11847,0.000770234,0.000770234,0.000770234,0.000385117,0.00154047
34,78.3821,1.51992,2.23497,1.61894,0.4871,0.39479,0.31023,0.13327,2.01829,3.52785,2.11457,0.000756976,0.000756976,0.000756976,0.000378488,0.00151395
35,80.5822,1.52985,2.11247,1.60795,0.4969,0.40723,0.33005,0.13499,2.06629,3.36029,2.1363,0.000743468,0.000743468,0.000743468,0.000371734,0.00148694
36,82.8412,1.4886,2.16214,1.59838,0.53712,0.37929,0.336,0.13783,2.05993,3.21586,2.14514,0.000729725,0.000729725,0.000729725,0.000364863,0.00145945
37,85.0608,1.41698,1.94463,1.51723,0.56716,0.38151,0.36603,0.15207,2.04459,3.11861,2.15768,0.000715761,0.000715761,0.000715761,0.00035788,0.00143152
38,87.3065,1.41867,2.12332,1.5312,0.52979,0.42642,0.37878,0.15832,1.99631,3.02787,2.12492,0.000701588,0.000701588,0.000701588,0.000350794,0.00140318
39,89.5274,1.45825,1.96048,1.51264,0.50843,0.46099,0.37786,0.16163,1.96977,3.00628,2.07674,0.000687222,0.000687222,0.000687222,0.000343611,0.00137444
40,91.8858,1.49814,2.02017,1.64849,0.30883,0.49078,0.36437,0.15855,1.98867,3.02666,2.05973,0.000672675,0.000672675,0.000672675,0.000336338,0.00134535
41,94.0356,1.37214,1.99672,1.54522,0.51105,0.4395,0.35844,0.15004,2.02093,3.05215,2.07658,0.000657963,0.000657963,0.000657963,0.000328982,0.00131593
42,96.2529,1.43635,2.02781,1.56526,0.50783,0.45942,0.36933,0.15852,1.98695,2.96725,2.0473,0.000643101,0.000643101,0.000643101,0.00032155,0.0012862
43,98.4804,1.37037,1.89841,1.48618,0.57445,0.39121,0.38683,0.1648,1.96552,2.91411,2.04176,0.000628101,0.000628101,0.000628101,0.000314051,0.0012562
44,100.839,1.41088,1.91124,1.51921,0.50863,0.45817,0.38429,0.16762,1.9391,2.86546,2.04219,0.000612981,0.000612981,0.000612981,0.00030649,0.00122596
45,103.078,1.38736,2.02296,1.52461,0.54557,0.45708,0.40127,0.17191,1.96482,2.88087,2.08623,0.000597754,0.000597754,0.000597754,0.000298877,0.00119551
46,105.31,1.39048,1.85614,1.50783,0.68946,0.36609,0.40523,0.17695,1.98393,2.92239,2.11768,0.000582435,0.000582435,0.000582435,0.000291218,0.00116487
47,107.558,1.37313,1.81002,1.52915,0.5751,0.42459,0.41029,0.17607,1.97583,2.95051,2.12083,0.00056704,0.00056704,0.00056704,0.00028352,0.00113408
48,109.935,1.37989,1.85122,1.50636,0.38903,0.48516,0.40168,0.17662,1.98034,2.94816,2.12207,0.000551584,0.000551584,0.000551584,0.000275792,0.00110317
49,112.161,1.41312,1.77143,1.5111,0.36373,0.47401,0.39368,0.17571,1.97694,2.98763,2.10005,0.000536081,0.000536081,0.000536081,0.000268041,0.00107216
50,114.404,1.34875,1.99913,1.56892,0.36166,0.49016,0.4119,0.18045,1.95729,3.03855,2.07082,0.000520548,0.000520548,0.000520548,0.000260274,0.0010411
51,116.676,1.30814,1.79863,1.45575,0.3848,0.49144,0.42636,0.17608,1.94505,3.05064,2.06737,0.000505,0.000505,0.000505,0.0002525,0.00101
52,119.057,1.29673,1.76083,1.43119,0.40917,0.49626,0.43515,0.18477,1.94692,3.02252,2.07267,0.000489452,0.000489452,0.000489452,0.000244726,0.000978903
53,121.32,1.40057,1.95637,1.57938,0.43053,0.5257,0.46012,0.18626,1.9434,3.0221,2.06231,0.000473919,0.000473919,0.000473919,0.000236959,0.000947837
54,123.549,1.27238,1.85934,1.45802,0.41521,0.53658,0.46606,0.18815,1.95555,2.94316,2.07668,0.000458416,0.000458416,0.000458416,0.000229208,0.000916833
55,125.801,1.18687,1.58514,1.36368,0.64109,0.43723,0.4658,0.1933,1.96801,2.87288,2.08933,0.00044296,0.00044296,0.00044296,0.00022148,0.00088592
56,128.182,1.27735,1.72231,1.43975,0.5975,0.47485,0.46066,0.19388,1.97638,2.84576,2.07265,0.000427565,0.000427565,0.000427565,0.000213782,0.00085513
57,130.385,1.25749,1.69726,1.43259,0.6194,0.43868,0.46018,0.19245,1.99424,2.85902,2.07845,0.000412246,0.000412246,0.000412246,0.000206123,0.000824492
58,132.614,1.18868,1.69361,1.40664,0.62657,0.43971,0.45887,0.19351,2.00141,2.81064,2.10014,0.000397019,0.000397019,0.000397019,0.00019851,0.000794038
59,134.863,1.19855,1.64802,1.35836,0.60805,0.45191,0.44605,0.1907,2.01579,2.72628,2.1092,0.000381899,0.000381899,0.000381899,0.000190949,0.000763797
60,137.233,1.31992,1.8341,1.469,0.57481,0.4409,0.43601,0.18654,2.01977,2.67512,2.12278,0.000366899,0.000366899,0.000366899,0.00018345,0.000733799
61,139.468,1.19043,1.75285,1.40221,0.55517,0.47072,0.44169,0.19024,2.00066,2.64264,2.11833,0.000352037,0.000352037,0.000352037,0.000176018,0.000704073
62,141.708,1.32123,1.68293,1.48549,0.57715,0.48966,0.44533,0.19362,1.96256,2.63257,2.09416,0.000337325,0.000337325,0.000337325,0.000168662,0.000674649
63,143.927,1.17203,1.59594,1.3634,0.59992,0.45012,0.44716,0.19655,1.93839,2.63951,2.07461,0.000322778,0.000322778,0.000322778,0.000161389,0.000645557
64,146.32,1.31236,1.73289,1.47084,0.59048,0.4782,0.45887,0.20182,1.91483,2.64853,2.06158,0.000308412,0.000308412,0.000308412,0.000154206,0.000616824
65,148.555,1.23098,1.52191,1.36384,0.39263,0.59019,0.45969,0.2037,1.89113,2.65951,2.03867,0.000294239,0.000294239,0.000294239,0.00014712,0.000588479
66,150.81,1.11128,1.48993,1.30206,0.43068,0.56003,0.46884,0.20826,1.88002,2.66633,2.03627,0.000280275,0.000280275,0.000280275,0.000140137,0.000560549
67,153.07,1.18924,1.61808,1.38581,0.68264,0.42791,0.47381,0.20803,1.86739,2.70795,2.02716,0.000266532,0.000266532,0.000266532,0.000133266,0.000533064
68,155.457,1.36968,1.84678,1.59939,0.66417,0.45152,0.47559,0.20216,1.89525,2.70511,2.03506,0.000253024,0.000253024,0.000253024,0.000126512,0.000506049
