dataset,sample_size,method,seed,mAP50-95,mAP50,precision,recall,trainable_params,total_params,trainable_ratio,peak_gpu_memory,elapsed_time,gpu_hours,checkpoint_size,adapter_size,status,exit_code,run_id,source,device,gpu_name,split_hash,artifact_manifest_verified
NEU-DET,10,Full-SFT,824,0.1214267962147083,0.2870734620766395,0.2909257534165233,0.38133581523049825,2590994,2591010,0.9999938248019112,2682.88,192.668,0.0535189,5498650,0,PASS,0,neu_10_full_seed824,immutable_p2_seed824,0,NVIDIA GeForce RTX 4090,0f15c149a2e395943d61427003aba476cd0b0a02599f50168a380b063e062b3f,True
NEU-DET,10,Full-SFT,825,0.10900340745668088,0.28428129526727824,0.3210938526984269,0.3564586780329006,2590994,2591010,0.9999938248019112,2682.88,193.67,0.05379711,5498650,0,PASS,0,neu_10_full_seed825_e100,new_p2_multiseed,4,NVIDIA GeForce RTX 4090,0f15c149a2e395943d61427003aba476cd0b0a02599f50168a380b063e062b3f,True
NEU-DET,10,Full-SFT,826,0.1333085386942851,0.33134248383378123,0.4226716468164084,0.3801402117195678,2590994,2591010,0.9999938248019112,2682.88,191.215,0.05311533,5498650,0,PASS,0,neu_10_full_seed826_e100,new_p2_multiseed,4,NVIDIA GeForce RTX 4090,0f15c149a2e395943d61427003aba476cd0b0a02599f50168a380b063e062b3f,True
NEU-DET,10,Frozen Backbone,824,0.1432168465387196,0.321545558491162,0.34501196282443924,0.3518998809922345,1225522,2591010,0.4729900695095735,1607.68,175.853,0.048848,5498650,0,PASS,0,neu_10_frozen_seed824,immutable_p2_seed824,1,NVIDIA GeForce RTX 4090,0f15c149a2e395943d61427003aba476cd0b0a02599f50168a380b063e062b3f,True
NEU-DET,10,Frozen Backbone,825,0.13126612064098372,0.31611071832588733,0.35675643399458196,0.37371235828741356,1225522,2591010,0.4729900695095735,1607.68,178.592,0.04960889,5498650,0,PASS,0,neu_10_frozen_seed825_e100,new_p2_multiseed,5,NVIDIA GeForce RTX 4090,0f15c149a2e395943d61427003aba476cd0b0a02599f50168a380b063e062b3f,True
NEU-DET,10,Frozen Backbone,826,0.12314085013721812,0.3260779347921708,0.3336500001477501,0.41824388403142293,1225522,2591010,0.4729900695095735,1607.68,174.72,0.04853342,5498650,0,PASS,0,neu_10_frozen_seed826_e100,new_p2_multiseed,5,NVIDIA GeForce RTX 4090,0f15c149a2e395943d61427003aba476cd0b0a02599f50168a380b063e062b3f,True
NEU-DET,10,V-PEFT,824,0.10536051224054682,0.2323102700825018,0.2939914556860772,0.31241069988543485,613602,2772770,0.2212956718371881,2641.92,220.292,0.0611921,6037266,763748,PASS,0,neu_10_vpeft_seed824,immutable_p2_seed824,2,NVIDIA GeForce RTX 4090,0f15c149a2e395943d61427003aba476cd0b0a02599f50168a380b063e062b3f,True
NEU-DET,10,V-PEFT,825,0.12721070602783963,0.27139982029457116,0.2739144767284816,0.4122213864752231,613602,2772770,0.2212956718371881,2641.92,222.664,0.06185111,6037266,763748,PASS,0,neu_10_vpeft_seed825_e100,new_p2_multiseed,6,NVIDIA GeForce RTX 4090,0f15c149a2e395943d61427003aba476cd0b0a02599f50168a380b063e062b3f,True
NEU-DET,10,V-PEFT,826,0.12509319601685423,0.27590651109956116,0.2907095983988833,0.36684173994668545,613602,2772770,0.2212956718371881,2641.92,222.586,0.06182931,6037266,763748,PASS,0,neu_10_vpeft_seed826_e100,new_p2_multiseed,6,NVIDIA GeForce RTX 4090,0f15c149a2e395943d61427003aba476cd0b0a02599f50168a380b063e062b3f,True
NEU-DET,50,Full-SFT,824,0.27933154709227803,0.5550510631251292,0.5071978738289356,0.5653082263351177,2590994,2591010,0.9999938248019112,2682.88,267.608,0.07433555,5498650,0,PASS,0,neu_50_full_seed824,immutable_p2_seed824,0,NVIDIA GeForce RTX 4090,4755e02af870d1af5bdea2bc2b355c1ad62e79a66eaa1ae2fad5545bb83c0f84,True
NEU-DET,50,Full-SFT,825,0.25907652005287524,0.5568702274097155,0.5123436128672351,0.5884644388063948,2590994,2591010,0.9999938248019112,2682.88,268.349,0.07454144,5498650,0,PASS,0,neu_50_full_seed825_e100,new_p2_multiseed,7,NVIDIA GeForce RTX 4090,4755e02af870d1af5bdea2bc2b355c1ad62e79a66eaa1ae2fad5545bb83c0f84,True
NEU-DET,50,Full-SFT,826,0.26755359212612245,0.5620922185229364,0.5547573070003156,0.5378241002322349,2590994,2591010,0.9999938248019112,2682.88,273.829,0.07606351,5498650,0,PASS,0,neu_50_full_seed826_e100,new_p2_multiseed,7,NVIDIA GeForce RTX 4090,4755e02af870d1af5bdea2bc2b355c1ad62e79a66eaa1ae2fad5545bb83c0f84,True
NEU-DET,50,Frozen Backbone,824,0.22367304237417793,0.48152174648827345,0.4586725881862186,0.5265297354811956,1225522,2591010,0.4729900695095735,1710.08,241.417,0.0670602,5498650,0,PASS,0,neu_50_frozen_seed824,immutable_p2_seed824,1,NVIDIA GeForce RTX 4090,4755e02af870d1af5bdea2bc2b355c1ad62e79a66eaa1ae2fad5545bb83c0f84,True
NEU-DET,50,Frozen Backbone,825,0.21562872913172765,0.4611847407674284,0.41952401070628537,0.5396022825678396,1225522,2591010,0.4729900695095735,1710.08,237.814,0.06605951,5498650,0,PASS,0,neu_50_frozen_seed825_e100,new_p2_multiseed,4,NVIDIA GeForce RTX 4090,4755e02af870d1af5bdea2bc2b355c1ad62e79a66eaa1ae2fad5545bb83c0f84,True
NEU-DET,50,Frozen Backbone,826,0.21916783572854262,0.48736688714482174,0.4092695655652236,0.5699072315754944,1225522,2591010,0.4729900695095735,1710.08,240.703,0.06686185,5498650,0,PASS,0,neu_50_frozen_seed826_e100,new_p2_multiseed,4,NVIDIA GeForce RTX 4090,4755e02af870d1af5bdea2bc2b355c1ad62e79a66eaa1ae2fad5545bb83c0f84,True
NEU-DET,50,V-PEFT,824,0.22366558626239436,0.4765483113259877,0.42101756044256927,0.535545179951139,613602,2772770,0.2212956718371881,2641.92,303.249,0.08423581,6037266,763748,PASS,0,neu_50_vpeft_seed824,immutable_p2_seed824,2,NVIDIA GeForce RTX 4090,4755e02af870d1af5bdea2bc2b355c1ad62e79a66eaa1ae2fad5545bb83c0f84,True
NEU-DET,50,V-PEFT,825,0.2629094114776422,0.526169913385072,0.45868077824366926,0.6021651529258991,613602,2772770,0.2212956718371881,2641.92,312.301,0.0867502,6037266,763748,PASS,0,neu_50_vpeft_seed825_e100,new_p2_multiseed,5,NVIDIA GeForce RTX 4090,4755e02af870d1af5bdea2bc2b355c1ad62e79a66eaa1ae2fad5545bb83c0f84,True
NEU-DET,50,V-PEFT,826,0.26503135960608676,0.5154053352970088,0.6190001553226196,0.5044316889809185,613602,2772770,0.2212956718371881,2641.92,296.782,0.08243942,6037266,763748,PASS,0,neu_50_vpeft_seed826_e100,new_p2_multiseed,5,NVIDIA GeForce RTX 4090,4755e02af870d1af5bdea2bc2b355c1ad62e79a66eaa1ae2fad5545bb83c0f84,True
NEU-DET,100,Full-SFT,824,0.329271082024551,0.6400595003656631,0.5926559916754542,0.6448380052175213,2590994,2591010,0.9999938248019112,2652.16,349.684,0.09713442,5498650,0,PASS,0,neu_full_seed824_e100,reused_p1_100_multiseed,0,NVIDIA GeForce RTX 4090,866509a9beb7bf50a2e81c3ce29043454b400284e065558313827d1854977259,True
NEU-DET,100,Full-SFT,825,0.3369660971664654,0.6369415093548864,0.6430517421371478,0.5626202989414949,2590994,2591010,0.9999938248019112,2652.16,357.501,0.09930581,5498650,0,PASS,0,neu_full_seed825_e100,reused_p1_100_multiseed,0,NVIDIA GeForce RTX 4090,866509a9beb7bf50a2e81c3ce29043454b400284e065558313827d1854977259,True
NEU-DET,100,Full-SFT,826,0.3325672867674142,0.6363486812378666,0.5513602632128839,0.6451096267883724,2590994,2591010,0.9999938248019112,2652.16,361.318,0.10036617,5498650,0,PASS,0,neu_full_seed826_e100,reused_p1_100_multiseed,0,NVIDIA GeForce RTX 4090,866509a9beb7bf50a2e81c3ce29043454b400284e065558313827d1854977259,True
NEU-DET,100,Frozen Backbone,824,0.29013037345959347,0.5736110191056554,0.4912692192153698,0.586196661857234,1225522,2591010,0.4729900695095735,1699.84,317.399,0.08816633,5498650,0,PASS,0,neu_frozen_seed824_e100,reused_p1_100_multiseed,0,NVIDIA GeForce RTX 4090,866509a9beb7bf50a2e81c3ce29043454b400284e065558313827d1854977259,True
NEU-DET,100,Frozen Backbone,825,0.3014284378647265,0.5813821883646177,0.5317413958756801,0.5867359926399452,1225522,2591010,0.4729900695095735,1699.84,333.687,0.09269073,5498650,0,PASS,0,neu_frozen_seed825_e100,reused_p1_100_multiseed,1,NVIDIA GeForce RTX 4090,866509a9beb7bf50a2e81c3ce29043454b400284e065558313827d1854977259,True
NEU-DET,100,Frozen Backbone,826,0.288936696618746,0.5756156370170821,0.5466410345369451,0.5606347207339393,1225522,2591010,0.4729900695095735,1699.84,324.274,0.09007614,5498650,0,PASS,0,neu_frozen_seed826_e100,reused_p1_100_multiseed,1,NVIDIA GeForce RTX 4090,866509a9beb7bf50a2e81c3ce29043454b400284e065558313827d1854977259,True
NEU-DET,100,V-PEFT,824,0.32803419678443413,0.6238517029405819,0.616230096355973,0.5839248296195537,613602,2772770,0.2212956718371881,2621.44,395.15,0.10976387,6037266,763747,PASS,0,neu_vpeft_seed824_e100,reused_p1_100_multiseed,0,NVIDIA GeForce RTX 4090,866509a9beb7bf50a2e81c3ce29043454b400284e065558313827d1854977259,True
