dataset,sample_size,method,n,map50_95_mean,map50_95_std,map50_95_ci95_lower,map50_95_ci95_upper,map50_mean,map50_std,map50_ci95_lower,map50_ci95_upper,precision_mean,precision_std,precision_ci95_lower,precision_ci95_upper,recall_mean,recall_std,recall_ci95_lower,recall_ci95_upper,peak_gpu_memory_mib_mean,peak_gpu_memory_mib_std,peak_gpu_memory_mib_ci95_lower,peak_gpu_memory_mib_ci95_upper,elapsed_seconds_mean,elapsed_seconds_std,elapsed_seconds_ci95_lower,elapsed_seconds_ci95_upper,gpu_hours_mean,gpu_hours_std,gpu_hours_ci95_lower,gpu_hours_ci95_upper,trainable_params,total_params,trainable_ratio
NEU-DET,10,Full-SFT,3,0.12124624745522476,0.012153571471390803,0.0910551022295545,0.151437392680895,0.30089908039256635,0.02640169802657126,0.2353136266680499,0.3664845341170828,0.34489708431045285,0.06902311557235942,0.17343415992820502,0.5163600086927007,0.3726449016609889,0.01403042206929998,0.33779140108555594,0.40749840223642186,2682.88,0.0,2682.88,2682.88,192.51766666666666,1.2343850020691742,189.45128433209229,195.58404900124103,0.05347711333333333,0.00034280546412409073,0.052625537352076576,0.05432868931459009,2590994,2591010,0.9999938248019112
NEU-DET,10,Frozen Backbone,3,0.13254127243897382,0.010098560142872505,0.107455058352742,0.15762748652520564,0.3212447372030734,0.00499041291948507,0.30884786427210825,0.33364161013403854,0.34513946565559045,0.011553744588161363,0.31643837301112815,0.37384055830005275,0.3812853744370237,0.0338141185751995,0.29728644729161424,0.46528430158243317,1607.68,0.0,1607.68,1607.68,176.38833333333332,1.9907366308312506,171.44306939433665,181.33359727233,0.04899677,0.0005529541707049518,0.047623155691630545,0.05037038430836946,1225522,2591010,0.4729900695095735
NEU-DET,10,V-PEFT,3,0.11922147142841355,0.012050543737418503,0.08928626128206968,0.14915668157475742,0.2598722004922114,0.023975457689796045,0.20031386188627473,0.319430539098148,0.28620517693781405,0.010769801787411864,0.259451506168622,0.3129588477070061,0.36382460876911443,0.04997369908049871,0.23968305828291614,0.4879661592553127,2641.92,0.0,2641.92,2641.92,221.84733333333335,1.3475226652391898,218.49990146304847,225.19476520361823,0.06162417333333333,0.0003743452070393496,0.06069424828727892,0.06255409837938773,613602,2772770,0.2212956718371881
NEU-DET,50,Full-SFT,3,0.2686538864237586,0.01017224241491484,0.24338463542685207,0.2939231374206651,0.5580045030192604,0.0036550517373662287,0.5489248511597289,0.5670841548787919,0.5247662645654954,0.026100126959613775,0.45992995490120897,0.5896025742297818,0.5638655884579158,0.025350973862160373,0.5008902782549579,0.6268408986608737,2682.88,0.0,2682.88,2682.88,269.9286666666667,3.398046546669626,261.48745109348425,278.3698822398491,0.07498016666666667,0.0009438338076342328,0.07263555351140939,0.07732477982192394,2590994,2591010,0.9999938248019112
NEU-DET,50,Frozen Backbone,3,0.2194898690781494,0.004031813859091148,0.2094742882236468,0.229505449932652,0.47669112480017456,0.013743266593207083,0.44255095797206645,0.5108312916282827,0.42915538815257587,0.026071770838539534,0.3643895189980116,0.49392125730714015,0.54534641654151,0.022251923471541302,0.49006957428479303,0.6006232587982269,1710.08,0.0,1710.08,1710.08,239.97799999999998,1.9077790752600312,235.23881405328012,244.71718594671984,0.06666052,0.0005298541739950711,0.06534428926460102,0.06797675073539898,1225522,2591010,0.4729900695095735
NEU-DET,50,V-PEFT,3,0.2505354524487078,0.02329416123447556,0.19266954806037823,0.30840135683703734,0.5060411866693562,0.026102515345615782,0.4411989439253317,0.5708834294133805,0.4995661646696194,0.10513319212436664,0.2384008373469656,0.7607314919922732,0.5473806739526522,0.049930117988705947,0.4233473849000996,0.6714139630052048,2641.92,0.0,2641.92,2641.92,304.11066666666665,7.795299374195538,284.7460695161155,323.4752638172178,0.08447514333333334,0.0021653328578842873,0.07909615832236856,0.08985412834429811,613602,2772770,0.2212956718371881
NEU-DET,100,Full-SFT,3,0.33293482198614355,0.0038606509957943335,0.3233444332552237,0.3425252107170634,0.637783230319472,0.0019934681553695007,0.632831180897359,0.6427352797415851,0.5956893323418286,0.04592093959762139,0.48161539452407826,0.7097632701595791,0.6175226436491296,0.04754701920590175,0.4994093001539898,0.7356359871442693,2652.16,0.0,2652.16,2652.16,356.16766666666666,5.930499332546379,341.435489624624,370.89984370870934,0.09893546666666668,0.0016473972362588628,0.09484310506568887,0.10302782826764449,2590994,2591010,0.9999938248019112
NEU-DET,100,Frozen Backbone,3,0.2934985026476887,0.0068934113840613594,0.2763743194652888,0.31062268583008856,0.5768696148291185,0.004034490448330497,0.5668473849583473,0.5868918446998896,0.5232172165426651,0.028653197168513535,0.45203872889146596,0.5943957041938641,0.5778557917437062,0.014916322752805737,0.5408015918714284,0.6149099916159839,1699.84,0.0,1699.84,1699.84,325.12,8.17688956755563,304.8074802596533,345.4325197403467,0.09031106666666666,0.0022713303907695437,0.08466876918689924,0.09595336414643409,1225522,2591010,0.4729900695095735
NEU-DET,100,V-PEFT,3,0.3202878141018712,0.00807738282722197,0.30022248280777,0.3403531453959724,0.6110463518508431,0.012852052982114049,0.5791200823633597,0.6429726213383266,0.666795942759841,0.04723361127719444,0.5494611477195939,0.7841307378000881,0.5360607817520785,0.04385072188939299,0.427129549815065,0.644992013689092,2621.44,0.0,2621.44,2621.44,402.62899999999996,6.562282453537049,386.327386681398,418.9306133186019,0.11184136333333333,0.0018228446469552289,0.10731316620299934,0.11636956046366732,613602,2772770,0.2212956718371881
NEU-DET,500,Full-SFT,3,0.39951162048240185,0.005600482224127806,0.3855992513849354,0.4134239895798683,0.7165313632573879,0.0005426772191840948,0.7151832783118541,0.7178794482029216,0.6562544619607751,0.008436153178398577,0.6352978957074247,0.6772110282141255,0.659836923899432,0.01610100282707882,0.6198398155781827,0.6998340322206814,2652.16,0.0,2652.16,2652.16,1173.8243333333332,13.10915490538326,1141.259387262469,1206.3892794041974,0.32606230333333336,0.003641355612204498,0.3170166745348223,0.3351079321318444,2590994,2591010,0.9999938248019112
