dataset,sample_size,method_a,method_b,delta_definition,delta_seed824,delta_seed825,delta_seed826,mean_delta,std_delta,ci95_lower,ci95_upper,direction_consistency
NEU-DET,10,Full-SFT,V-PEFT,method_b_minus_method_a,-0.016066283974161474,0.018207298571158742,-0.008215342677430876,-0.002024776026811203,0.017955833361739105,-0.0466295388282895,0.04257998677466709,mixed
NEU-DET,10,Full-SFT,Frozen Backbone,method_b_minus_method_a,0.02179005032401131,0.02226271318430284,-0.010167688557066984,0.011295024983749055,0.018588757541756814,-0.03488200864204902,0.05747205860954713,mixed
NEU-DET,10,Frozen Backbone,V-PEFT,method_b_minus_method_a,-0.037856334298172784,-0.004055414613144098,0.0019523458796361082,-0.013319801010560258,0.021460531117967252,-0.06663071567689907,0.03999111365577856,mixed
NEU-DET,50,Full-SFT,V-PEFT,method_b_minus_method_a,-0.055665960829883676,0.0038328914247669488,-0.0025222325200356943,-0.018118433975050807,0.03267199840496825,-0.09928017733413136,0.06304330938402974,mixed
NEU-DET,50,Full-SFT,Frozen Backbone,method_b_minus_method_a,-0.055658504718100105,-0.04344779092114759,-0.04838575639757983,-0.04916401734560918,0.006142446616389294,-0.06442270062836888,-0.03390533406284947,all_negative
NEU-DET,50,Frozen Backbone,V-PEFT,method_b_minus_method_a,-7.4561117835714175e-06,0.04728068234591454,0.04586352387754414,0.031045583370558367,0.02690205438902453,-0.03578282446328922,0.09787399120440594,mixed
NEU-DET,100,Full-SFT,V-PEFT,method_b_minus_method_a,-0.0012368852401168917,-0.016052665692564305,-0.020651472720135955,-0.012647007884272385,0.010145463547084137,-0.037849736485720174,0.012555720717175407,all_negative
NEU-DET,100,Full-SFT,Frozen Backbone,method_b_minus_method_a,-0.03914070856495755,-0.03553765930173891,-0.043630590148668214,-0.039436319338454894,0.00405455567483673,-0.04950839399508691,-0.029364244681822874,all_negative
NEU-DET,100,Frozen Backbone,V-PEFT,method_b_minus_method_a,0.03790382332484066,0.019484993609174606,0.02297911742853226,0.026789311454182507,0.009782714649242373,0.002487701069793201,0.051090921838571814,all_positive
NEU-DET,500,Full-SFT,V-PEFT,method_b_minus_method_a,-0.0052158770306526825,-0.01564771904219281,-0.005106406194688717,-0.008656667422511402,0.006054675716152697,-0.0236973157019909,0.006383980856968093,all_negative
NEU-DET,500,Full-SFT,Frozen Backbone,method_b_minus_method_a,-0.009716809796094072,-0.03044292497887413,-0.027611468720397048,-0.02259040116512175,0.011238385212673802,-0.050508097692151914,0.005327295361908416,all_negative
NEU-DET,500,Frozen Backbone,V-PEFT,method_b_minus_method_a,0.00450093276544139,0.014795205936681322,0.02250506252570833,0.013933733742610347,0.009032927148051208,-0.008505301234200896,0.03637276871942159,all_positive
DeepPCB,10,Full-SFT,V-PEFT,method_b_minus_method_a,-0.0583920303657377,-0.12696585044369954,-0.11649224241096415,-0.1006167077401338,0.036940718060626855,-0.1923825385771246,-0.008850876903143012,all_negative
DeepPCB,10,Full-SFT,Frozen Backbone,method_b_minus_method_a,-0.04237216779346431,-0.08403672706194981,-0.08277362450693887,-0.06972750645411767,0.023698834822526525,-0.12859867576351175,-0.010856337144723574,all_negative
DeepPCB,10,Frozen Backbone,V-PEFT,method_b_minus_method_a,-0.01601986257227339,-0.04292912338174973,-0.03371861790402528,-0.030889201286016132,0.01367593792493972,-0.06486211443019309,0.003083711858160823,all_negative
DeepPCB,50,Full-SFT,V-PEFT,method_b_minus_method_a,-0.2014861228589166,-0.20210883471902485,-0.18454101434448045,-0.19604532397414065,0.009967888319824762,-0.2208069312568642,-0.1712837166914171,all_negative
DeepPCB,50,Full-SFT,Frozen Backbone,method_b_minus_method_a,-0.17738941203556546,-0.18433567412709095,-0.16955864199026127,-0.17709457605097256,0.007392926747005035,-0.19545962418410612,-0.158729527917839,all_negative
DeepPCB,50,Frozen Backbone,V-PEFT,method_b_minus_method_a,-0.02409671082335113,-0.0177731605919339,-0.014982372354219176,-0.01895074792316807,0.004669884942317858,-0.03055138521835115,-0.00735011062798499,all_negative
DeepPCB,100,Full-SFT,V-PEFT,method_b_minus_method_a,-0.12300341107319723,-0.12735705264394626,-0.14561759941617625,-0.1319926877111066,0.01199863379555551,-0.161798946413249,-0.1021864290089642,all_negative
DeepPCB,100,Full-SFT,Frozen Backbone,method_b_minus_method_a,-0.15913020918248127,-0.15846187630039155,-0.17514217614266625,-0.1642447538751797,0.009443358844566615,-0.18770335770744087,-0.14078615004291853,all_negative
DeepPCB,100,Frozen Backbone,V-PEFT,method_b_minus_method_a,0.03612679810928404,0.03110482365644529,0.029524576726490004,0.03225206616407311,0.0034473839103495323,0.023688289785170458,0.040815842542975767,all_positive
DeepPCB,500,Full-SFT,V-PEFT,method_b_minus_method_a,-0.04354407734720922,-0.0440851896369171,-0.0450947105796915,-0.04424132585460594,0.0007870195323340096,-0.046196390754834483,-0.042286260954377396,all_negative
DeepPCB,500,Full-SFT,Frozen Backbone,method_b_minus_method_a,-0.11209466426997083,-0.08685415254130013,-0.10939256290498389,-0.10278045990541829,0.013858599771944464,-0.13720713023225475,-0.06835378957858182,all_negative
DeepPCB,500,Frozen Backbone,V-PEFT,method_b_minus_method_a,0.06855058692276161,0.042768962904383034,0.06429785232529239,0.05853913405081235,0.013821908745896191,0.02420360928546863,0.09287465881615606,all_positive
