dataset,sample_size,method,seed,mAP50-95,mAP50,precision,recall,trainable_params,total_params,trainable_ratio,peak_gpu_memory_mib,training_seconds,gpu_hours,best_epoch,best_mAP50-95,last_epoch_mAP50-95,checkpoint_size_bytes,adapter_size_bytes,planner_status,planner_backend,actual_backend,planned_targets,applied_targets,adapter_params,device,gpu_name,exit_code,status,source,run_id
NEU-DET,10,Full-SFT,824,0.1214267962147083,0.2870734620766395,0.2909257534165233,0.38133581523049825,2590994,2591010,0.9999938248019112,2682.88,192.668,0.0535189,100,0.11561,0.11561,5498650,0,,,,0,0,0,0,NVIDIA GeForce RTX 4090,0,PASS,new_p2_seed824,neu_10_full_seed824
NEU-DET,10,Frozen Backbone,824,0.1432168465387196,0.321545558491162,0.34501196282443924,0.3518998809922345,1225522,2591010,0.4729900695095735,1607.68,175.853,0.048848,100,0.11272,0.11272,5498650,0,,,,0,0,0,1,NVIDIA GeForce RTX 4090,0,PASS,new_p2_seed824,neu_10_frozen_seed824
NEU-DET,10,V-PEFT,824,0.10536051224054682,0.2323102700825018,0.2939914556860772,0.31241069988543485,613602,2772770,0.2212956718371881,2641.92,220.292,0.0611921,97,0.106,0.10364,6037266,763748,ACCEPT,vpeft,peft,59,52,181760,2,NVIDIA GeForce RTX 4090,0,PASS,new_p2_seed824,neu_10_vpeft_seed824
NEU-DET,50,Full-SFT,824,0.27933154709227803,0.5550510631251292,0.5071978738289356,0.5653082263351177,2590994,2591010,0.9999938248019112,2682.88,267.608,0.07433555,91,0.28465,0.2678,5498650,0,,,,0,0,0,0,NVIDIA GeForce RTX 4090,0,PASS,new_p2_seed824,neu_50_full_seed824
NEU-DET,50,Frozen Backbone,824,0.22367304237417793,0.48152174648827345,0.4586725881862186,0.5265297354811956,1225522,2591010,0.4729900695095735,1710.08,241.417,0.0670602,93,0.21544,0.21046,5498650,0,,,,0,0,0,1,NVIDIA GeForce RTX 4090,0,PASS,new_p2_seed824,neu_50_frozen_seed824
NEU-DET,50,V-PEFT,824,0.22366558626239436,0.4765483113259877,0.42101756044256927,0.535545179951139,613602,2772770,0.2212956718371881,2641.92,303.249,0.08423581,90,0.21717,0.19594,6037266,763748,ACCEPT,vpeft,peft,59,52,181760,2,NVIDIA GeForce RTX 4090,0,PASS,new_p2_seed824,neu_50_vpeft_seed824
NEU-DET,100,Full-SFT,824,0.329271082024551,0.6400595003656631,0.5926559916754542,0.6448380052175213,2590994,2591010,0.9999938248019112,2652.16,349.684,0.09713442,85,0.32866,0.31617,5498650,0,,,,0,0,0,0,NVIDIA GeForce RTX 4090,0,PASS,reused_p1_seed824_e100,neu_full_seed824_e100
NEU-DET,100,Frozen Backbone,824,0.29013037345959347,0.5736110191056554,0.4912692192153698,0.586196661857234,1225522,2591010,0.4729900695095735,1699.84,317.399,0.08816633,79,0.2694,0.26642,5498650,0,,,,0,0,0,0,NVIDIA GeForce RTX 4090,0,PASS,reused_p1_seed824_e100,neu_frozen_seed824_e100
NEU-DET,100,V-PEFT,824,0.32803419678443413,0.6238517029405819,0.616230096355973,0.5839248296195537,613602,2772770,0.2212956718371881,2621.44,395.15,0.10976387,87,0.31786,0.30394,6037266,763747,ACCEPT,vpeft,peft,59,52,181760,0,NVIDIA GeForce RTX 4090,0,PASS,reused_p1_seed824_e100,neu_vpeft_seed824_e100
NEU-DET,500,Full-SFT,824,0.39563138850644375,0.7170237317271698,0.6620388504649312,0.6511964941399915,2590994,2591010,0.9999938248019112,2652.16,1159.268,0.32201895,71,0.41834,0.39607,5498650,0,,,,0,0,0,0,NVIDIA GeForce RTX 4090,0,PASS,new_p2_seed824,neu_500_full_seed824
