dataset,sample_size,method,mAP50-95,accuracy_retention_vs_full,accuracy_delta_vs_full,trainable_params,trainable_ratio,parameter_reduction_vs_full,map50_95_per_million_trainable_params,peak_gpu_memory_mib,memory_saving_vs_full,training_seconds,training_time_change_vs_full,gpu_hours,gpu_hour_change_vs_full
NEU-DET,10,Full-SFT,0.1214267962147083,1.0,0.0,2590994,0.9999938248019112,0.0,0.046864946894785674,2682.88,0.0,192.668,0.0,0.0535189,0.0
NEU-DET,10,Frozen Backbone,0.1432168465387196,1.1794500967107941,0.02179005032401131,1225522,0.4729900695095735,0.5270070096650166,0.11686191397520371,1607.68,0.4007633587786259,175.853,-0.08727448252953263,0.048848,-0.08727571007625345
NEU-DET,10,V-PEFT,0.10536051224054682,0.8676874917645617,-0.016066283974161474,613602,0.2212956718371881,0.763178918978585,0.17170822820092962,2641.92,0.01526717557251911,220.292,0.14337617040712525,0.0611921,0.1433736493089357
NEU-DET,50,Full-SFT,0.27933154709227803,1.0,0.0,2590994,0.9999938248019112,0.0,0.1078086429734218,2682.88,0.0,267.608,0.0,0.07433555,0.0
NEU-DET,50,Frozen Backbone,0.22367304237417793,0.8007439356654079,-0.055658504718100105,1225522,0.4729900695095735,0.5270070096650166,0.1825124660138112,1710.08,0.36259541984732835,241.417,-0.09787076619533053,0.0670602,-0.09787174508024765
NEU-DET,50,V-PEFT,0.22366558626239436,0.8007172429704323,-0.055665960829883676,613602,0.2212956718371881,0.763178918978585,0.36451247920051494,2641.92,0.01526717557251911,303.249,0.13318361185016903,0.08423581,0.13318338264800622
NEU-DET,100,Full-SFT,0.329271082024551,1.0,0.0,2590994,0.9999938248019112,0.0,0.1270829195376566,2652.16,0.0,349.684,0.0,0.09713442,0.0
NEU-DET,100,Frozen Backbone,0.29013037345959347,0.8811292254263642,-0.03914070856495755,1225522,0.4729900695095735,0.5270070096650166,0.23674024086029746,1699.84,0.359073359073359,317.399,-0.09232621452511414,0.08816633,-0.09232659236550744
NEU-DET,100,V-PEFT,0.32803419678443413,0.9962435655372108,-0.0012368852401168917,613602,0.2212956718371881,0.763178918978585,0.5346041844459994,2621.44,0.01158301158301156,395.15,0.13002024685144287,0.10976387,0.13002033676630798
NEU-DET,500,Full-SFT,0.39563138850644375,1.0,0.0,2590994,0.9999938248019112,0.0,0.15269483005612663,2652.16,0.0,1159.268,0.0,0.32201895,0.0
NEU-DET,500,Frozen Backbone,0.3859145787103497,0.9754397399236289,-0.009716809796094072,1225522,0.4729900695095735,0.5270070096650166,0.3148981239915315,1699.84,0.359073359073359,1031.904,-0.10986588088345406,0.28664002,-0.10986598770041334
NEU-DET,500,V-PEFT,0.39041551147579107,0.9868163214998101,-0.0052158770306526825,613602,0.2212956718371881,0.763178918978585,0.6362683163936739,2621.44,0.01158301158301156,1216.369,0.04925608228640832,0.33788032,0.04925601428114712
DeepPCB,10,Full-SFT,0.24916234133175094,1.0,0.0,2590994,0.9999938248019112,0.0,0.09616476971067897,2693.12,0.0,203.683,0.0,0.05657848,0.0
DeepPCB,10,Frozen Backbone,0.20679017353828663,0.8299415250033823,-0.04237216779346431,1225522,0.4729900695095735,0.5270070096650166,0.16873640256012265,1628.16,0.3954372623574144,187.952,-0.07723275874766178,0.05220897,-0.07722918678621271
DeepPCB,10,V-PEFT,0.19077031096601324,0.765646646063617,-0.0583920303657377,613602,0.2212956718371881,0.763178918978585,0.3109023617361307,2662.4,0.011406844106463754,243.842,0.19716422087263052,0.06773381,0.1971656007725906
DeepPCB,50,Full-SFT,0.5577085083655379,1.0,0.0,2590994,0.9999938248019112,0.0,0.2152488613889256,2693.12,0.0,282.421,0.0,0.07845034,0.0
DeepPCB,50,Frozen Backbone,0.3803190963299724,0.6819316733118594,-0.17738941203556546,1225522,0.4729900695095735,0.5270070096650166,0.31033232886065887,1730.56,0.35741444866920147,258.006,-0.08644895386674512,0.07166832,-0.08644984840091197
DeepPCB,50,V-PEFT,0.3562223855066213,0.6387250331729619,-0.2014861228589166,613602,0.2212956718371881,0.763178918978585,0.5805430645705544,2652.16,0.01520912547528519,317.412,0.1238965940917991,0.08817009,0.12389684990530325
DeepPCB,100,Full-SFT,0.63453779041467,1.0,0.0,2590994,0.9999938248019112,0.0,0.24490129672807812,2672.64,0.0,369.01,0.0,0.10250289,0.0
DeepPCB,100,Frozen Backbone,0.4754075812321887,0.7492187044076764,-0.15913020918248127,1225522,0.4729900695095735,0.5270070096650166,0.3879225189202549,1710.08,0.3601532567049809,335.591,-0.09056394135660273,0.09321965,-0.09056564161264136
DeepPCB,100,V-PEFT,0.5115343793414727,0.8061527415210139,-0.12300341107319723,613602,0.2212956718371881,0.763178918978585,0.8336582660119634,2641.92,0.011494252873563093,412.135,0.11686675157854798,0.1144819,0.1168650952182908
DeepPCB,500,Full-SFT,0.7006209618146635,1.0,0.0,2590994,0.9999938248019112,0.0,0.2704062463342885,2652.16,0.0,1154.634,0.0,0.32073176,0.0
DeepPCB,500,Frozen Backbone,0.5885262975446927,0.8400066935199357,-0.11209466426997083,1225522,0.4729900695095735,0.5270070096650166,0.48022499599737306,1699.84,0.359073359073359,1057.445,-0.0841729933468095,0.29373464,-0.08417351621180258
DeepPCB,500,V-PEFT,0.6570768844674543,0.9378493083700684,-0.04354407734720922,613602,0.2212956718371881,0.763178918978585,1.070851927580833,2621.44,0.01158301158301156,1241.536,0.07526367662826483,0.34487104,0.07526314201000872
